Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra umbilica,Discoaster saipanensis,Discoaster barbadiensis,Dictyococcites bisectus,Cribrocentrum reticulatum,Chiasmolithus grandis,Chiasmolithus expansus,Pemma papillatum,Chiasmolithus oamaruensis,Pemma basquensis,Neococcolithes minutus,Isthmolithus recurvus,Cyclicargolithus floridanus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1052,B,  1,X,CC,   0.00,      0.0000,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,                      ,+                      ,+                      ,+                        ,                     ,                      ,                ,+                        ,                ,                      ,+                    ,+                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1052,B,  2,H, 1,  60.00,      5.6000,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,                     ,                      ,+               ,                         ,                ,                      ,                     ,                           ,No Ch. grandis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1052,B,  2,H,CC,  14.00,     14.8400,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,                     ,                      ,+               ,                         ,                ,                      ,+                    ,                           ,No Ch. grandis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1052,B,  3,H,CC,  19.00,     24.3700,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,                     ,                      ,+               ,                         ,+               ,                      ,                     ,                           ,No Ch. grandis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1052,B,  4,H,CC,  28.00,     33.7200,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,                     ,                      ,+               ,                         ,                ,                      ,                     ,                           ,No Ch. grandis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1052,B,  5,H,CC,  23.00,     43.3500,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,                     ,                      ,+               ,                         ,                ,                      ,                     ,                           ,No Ch grandis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1052,B,  6,H,CC,   0.00,     52.3400,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,                     ,                      ,+               ,                         ,+               ,+                     ,                     ,                           ,No Ch. grandis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
