Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra minutula,Reticulofenestra minuta,Pseudoemiliania lacunosa,Coccolithus pelagicus,Calcidiscus leptoporus,Braarudosphaera bigelowii,Reticulofenestra productella,Pontosphaera spp.,Syracosphaera pulchra,Gephyrocapsa spp. (small),Gephyrocapsa muellerae,Calcidiscus macintyrei,Gephyrocapsa caribbeanica,Reticulofenestra pseudoumbilica,Reticulofenestra asanoi,Gephyrocapsa oceanica,Syracosphaera spp.(small),Emiliania huxleyi,Helicosphaera carteri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1027,B,  1,H, 1, 125.00,      1.2500,Su       ,Nannofossils                                 ,F              ,M-G               ,                         ,                       ,                        ,1.0%                 ,                      ,                         ,                            ,                 ,                     ,4.0%                     ,34.2%                 ,                      ,                         ,                               ,                       ,                     ,                         ,61.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1027,B,  1,H, 2,  20.00,      1.7000,Su       ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,                        ,2.0%                 ,5.0%                  ,                         ,                            ,                 ,                     ,3.0%                     ,17.2%                 ,                      ,                         ,                               ,                       ,                     ,                         ,73.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,168,1027,B,  1,H, 3, 100.00,            ,Su       ,Nannofossils                                 ,F              ,G                 ,                         ,                       ,                        ,                     ,                      ,                         ,                            ,                 ,                     ,                         ,7.0%                  ,                      ,                         ,                               ,                       ,                     ,                         ,92.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  3,H, 4, 115.00,     19.3500,Su       ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,                        ,9.0%                 ,                      ,                         ,                            ,5.0%             ,                     ,3.0%                     ,55.9%                 ,                      ,                         ,                               ,                       ,                     ,                         ,31.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  3,H, 6,  68.00,     21.8800,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,F                    ,                      ,                         ,                            ,                 ,                     ,                         ,A                     ,                      ,                         ,                               ,                       ,                     ,                         ,A                ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
