Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia crassaformis crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (pink),Globigerinoides ruber (high),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 940,A,  1,H, 1,  50.00,      0.5000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,C                         ,-                   ,-                           ,F                  ,R                            ,-                     ,R                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,R                           ,C                           ,R                        ,-                    ,-               ,from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 940,A,  1,H, 1, 100.00,      1.0000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,C                           ,F                         ,-                   ,-                           ,R                  ,P                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,R                           ,F                           ,-                        ,-                    ,-               ,from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 940,A,  1,H, 2,  62.00,      2.1200,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,C                           ,F                         ,-                   ,-                           ,R                  ,F                            ,-                     ,R                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,R                                  ,F                           ,R                           ,-                        ,-                    ,-               ,BN; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A,  1,H, 2, 100.00,      2.5000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,-                           ,F                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,F                                ,C                                  ,R                           ,C                           ,-                        ,-                    ,-               ,BN; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
