Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sponge spicules,Pyxilla fragments,Distephanosira architecturalis,Coscinodiscus spp.,Xanthiopyxis spp.,Triceratium spp.,Stephanopyxis turris,Silicoflagellate tests,Rhizosolenia spp.,Rhizosolenia bergonii,Paralia sulcata var. crenulata,Hemiaulus spp.,Chaetoceros spp. (resting spores),Thalassiothrix antarctica,Sceptroneis spp.,Podosira spp.,Coscinodiscus marginatus,Rossiella spp.,Actinoptychus senarius,Thalassiosira spp.,Actinocyclus spp.,Proboscia barboi,Paralia sulcata,Proboscia praebarboi,Synedra jouseana,Rocella vigilans,Thalassiosira oestrupii,Odontella aurita,Azpeitia nodulifera,Cocconeis spp.,Actinocyclus ingens  var. nodus,Denticulopsis dimorpha,Hemidiscus cuneiformis,Azpeitia tabularis,Actinocyclus curvatulus,Asteromphalus kennettii,Thalassiosira leptopus,Actinocyclus ingens var. ovalis,Hemidiscus karstenii,Coscinodiscus rhombicus,Denticulopsis hustedtii,Actinocyclus karstenii,Thalassiosira eccentrica,Thalassionema nitzschioides  var. parva,Hemidiscus sp.,Fragilariopsis reinholdii,Dactyliosolen antarcticus,Corethron criophilum,Asteromphalus spp.,Ethmodiscus rex,Actinoptychus bipunctatus,Actinocyclus octonarius var. tenella,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  1,H,CC,  10.00,      6.2400,diatoms  ,Diatoms                                      ,B              ,                  ,C              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  2,H,CC,   9.00,     16.1500,diatoms  ,Diatoms                                      ,F              ,G                 ,A              ,                 ,                              ,                  ,                 ,                ,F                   ,F                     ,                 ,                     ,                              ,              ,R                                ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,F              ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,R                     ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,R                        ,R                                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  3,H,CC,  15.00,     25.5400,diatoms  ,Diatoms                                      ,R              ,M                 ,A              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,R              ,                    ,                ,                ,                       ,                ,                   ,R             ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,R                        ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  4,H,CC,  12.00,     35.1100,diatoms  ,Diatoms                                      ,T              ,G                 ,               ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,R                 ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
