Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp.,Reticulofenestra samodurovii,Ericsonia formosa,Chiasmolithus spp.,Zygrhablithus bijugatus,Chiasmolithus solitus,Reticulofenestra dictyoda,Chiasmolithus expansus,Reticulofenestra umbilica,Reticulofenestra reticulata,Chiasmolithus oamaruensis,Dictyococcites bisectus,Sphenolithus moriformis,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coccolithus pelagicus,Chiasmolithus altus,Discoaster spp.,Coccolithus miopelagicus,Reticulofenestra pseudoumbilica,Calcidiscus premacintyrei,Calcidiscus macintyrei,Calcidiscus leptoporus,Sphenolithus heteromorphus,Reticulofenestra gelida,Helicosphaera spp.,Discoaster variabilis,Reticulofenestra perplexa,Discoaster bellus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster challengeri,Discoaster loeblichii,Discoaster lodoensis,Triquetrorhabdulus rugosus,Discoaster surculus,Discoaster quinqueramus,Discoaster intercalaris,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus ninae,Helicosphaera kamptneri,Discoaster triradiatus,Discoaster calcaris,Pseudoemiliania lacunosa,Gephyrocapsa > 4.5,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  1,H,CC,  10.00,      6.2400,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,                      ,                      ,                          ,                       ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,A                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  2,H,CC,   9.00,     16.1500,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,                      ,                      ,                          ,                       ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,C                       ,A                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  3,H,CC,  15.00,     25.5400,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,A                     ,                      ,                          ,                       ,                  ,                     ,                         ,                 ,                        ,R                  ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,C                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  4,H,CC,  12.00,     35.1100,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,                       ,                  ,                     ,                         ,                 ,R                       ,R                  ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
