Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ticinella raynaudi,Ticinella primula,Ticinella praeticinensis,Rotalipora ticinensis,Rotalipora subticinensis,Hedbergella delrioensis,Biticinella breggiensis,Ticinella roberti,Favusella washitensis,Hedbergella simplicissima,Praeglobotruncana delrioensis,Planomalina praebuxtorfi,Hedbergella simplex,Guembelitria cenomana,Costellagerina libyca,Planomalina buxtorfi,Schackoina cenomana,Rotalipora appenninica,Heterohelix moremani,Hedbergella crassa,Rotalipora brotzeni,Rugoglobigerina rugosa,Rotalipora greenhornensis,Racemiguembelina fructicosa,Globotruncanita stuartiformis,Globotruncana arca,Contusotruncana fornicata,Heterohelix globulosa,Globotruncana orientalis,Contusotruncana patelliformis,Pseudotextularia nuttalli,Globigerinelloides prairiehillensis,Planoglobulina acervulinoides,Globotruncanella petaloidea,Globotruncana linneiana,Globigerinelloides subcarinatus,Globotruncana falsostuarti,Planoglobulina multicamerata,Laeviheterohelix glabrans,Heterohelix navarroensis,Globotruncanita stuarti,Globigerinelloides alvarezi,Contusotruncana walfischensis,Globotruncana aegyptiaca,Globotruncanella havanensis,Globotruncana esnehensis,Globotruncana dupeublei,Contusotruncana plicata,Contusotruncana contusa,Pseudoguembelina palpebra,Pseudoguembelina excolata,Globotruncana rosetta,Abathomphalus mayaroensis,Abathomphalus intermedius,Rugoglobigerina rotundata,Rugoglobigerina hexacamerata,Pseudotextularia elegans,Gublerina cuvillieri,Rugoglobigerina macrocephala,Woodringina hornerstownensis,Woodringina claytonensis,Parvularugoglobigerina eugubina,Subbotina triloculinoides,Parasubbotina pseudobulloides,Praemurica inconstans,Morozovella trinidadensis,Globanomalina compressa,Morozovella praecursoria,Praemurica uncinata,Morozovella praeangulata,Eoglobigerina spiralis,Morozovella angulata,Eoglobigerina eobulloides,Chiloguembelina subtriangularis,Chiloguembelina midwayensis,Subbotina trivialis,Parasubbotina varianta,Igorina pusilla,Globoconusa daubjergensis,Morozovella conicotruncata,Morozovella velascoensis,Turborotalia pseudomayeri,Turborotalia pomeroli,Truncorotaloides rohri,Subbotina venezuelana,Morozovella spinulosa,Hantkenina dumblei,Globigerinatheka mexicana,Globigerinatheka index,Catapsydrax dissimilis,Acarinina bullbrooki,Turborotalia cerroazulensis,Subbotina linaperta,Pseudohastigerina micra,Globigerinatheka beckmanni,Acarinina primitiva,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P13           ,171,1052,E,  1,R,CC,  16.00,    142.1500,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                  ,                 ,                        ,                     ,                        ,                       ,                       ,                 ,                     ,                         ,                             ,                        ,                   ,                     ,                     ,                    ,                   ,                      ,                    ,                  ,                   ,                      ,                         ,                           ,                             ,                  ,                         ,                     ,                        ,                             ,                         ,                                   ,                             ,                           ,                       ,                               ,                          ,                            ,                         ,                        ,                       ,                           ,                             ,                        ,                           ,                        ,                       ,                       ,                       ,                         ,                         ,                     ,                         ,                         ,                         ,                            ,                        ,                    ,                            ,                            ,                        ,                               ,                         ,                             ,                     ,                         ,                       ,                        ,                   ,                        ,                      ,                    ,                         ,                               ,                           ,                   ,                      ,               ,                         ,                          ,                        ,                         ,                     ,R                     ,R                    ,R                    ,                  ,F                        ,F                     ,R                     ,F                   ,P                          ,F                  ,R                      ,R                         ,P                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P12           ,171,1052,E,  2,R,CC,  18.00,    148.1400,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                  ,                 ,                        ,                     ,                        ,                       ,                       ,                 ,                     ,                         ,                             ,                        ,                   ,                     ,                     ,                    ,                   ,                      ,                    ,                  ,                   ,                      ,                         ,                           ,                             ,                  ,                         ,                     ,                        ,                             ,                         ,                                   ,                             ,                           ,                       ,                               ,                          ,                            ,                         ,                        ,                       ,                           ,                             ,                        ,                           ,                        ,                       ,                       ,                       ,                         ,                         ,                     ,                         ,                         ,                         ,                            ,                        ,                    ,                            ,                            ,                        ,                               ,                         ,                             ,                     ,                         ,                       ,                        ,                   ,                        ,                      ,                    ,                         ,                               ,                           ,                   ,                      ,               ,                         ,                          ,                        ,F                        ,P                    ,R                     ,P                    ,R                    ,P                 ,F                        ,F                     ,R                     ,F                   ,                           ,                   ,                       ,                          ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,              ,171,1052,E,  3,R,CC,  12.00,    159.4600,Bellier  ,Planktonic Foraminifers                      ,T              ,P                 ,                  ,                 ,                        ,                     ,                        ,                       ,                       ,                 ,                     ,                         ,                             ,                        ,                   ,                     ,                     ,                    ,                   ,                      ,                    ,                  ,                   ,                      ,                         ,                           ,                             ,                  ,                         ,                     ,                        ,                             ,                         ,                                   ,                             ,                           ,                       ,                               ,                          ,                            ,                         ,                        ,                       ,                           ,                             ,                        ,                           ,                        ,                       ,                       ,                       ,                         ,                         ,                     ,                         ,                         ,                         ,                            ,                        ,                    ,                            ,                            ,                        ,                               ,P                        ,                             ,                     ,                         ,                       ,                        ,                   ,                        ,                      ,                    ,                         ,                               ,                           ,                   ,                      ,               ,                         ,                          ,                        ,                         ,                     ,                      ,                     ,                     ,                  ,                         ,                      ,                      ,                    ,                           ,                   ,                       ,                          ,                   ,G. beccariiformis present
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Paleocene   ,                  ,P3b           ,171,1052,E,  4,R,CC,   0.00,    165.7500,Bellier  ,Planktonic Foraminifers                      ,R              ,M                 ,                  ,                 ,                        ,                     ,                        ,                       ,                       ,                 ,                     ,                         ,                             ,                        ,                   ,                     ,                     ,                    ,                   ,                      ,                    ,                  ,                   ,                      ,                         ,                           ,                             ,                  ,                         ,                     ,                        ,                             ,                         ,                                   ,                             ,                           ,                       ,                               ,                          ,                            ,                         ,                        ,                       ,                           ,                             ,                        ,                           ,                        ,                       ,                       ,                       ,                         ,                         ,                     ,                         ,                         ,                         ,                            ,                        ,                    ,                            ,                            ,                        ,                               ,F                        ,F                            ,                     ,                         ,R                      ,                        ,                   ,                        ,                      ,P                   ,P                        ,R                              ,F                          ,                   ,F                     ,F              ,                         ,                          ,P                       ,                         ,                     ,                      ,                     ,                     ,                  ,                         ,                      ,                      ,                    ,                           ,                   ,                       ,                          ,                   ,mid Eocene contamination
