Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Diatoms (unspecified pennate taxa),Diatoms (unspecified centric taxa),Chaetoceros spp. (resting spores),Comment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 740,B,  1,R, 1,   0.00,      0.0000,Stockwell,Diatoms                                      ,               ,                  ,150104                            ,12147                             ,22559                            ,counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 740,B,  1,R, 1,  51.00,      0.5100,Stockwell,Diatoms                                      ,               ,                  ,76918                             ,18002                             ,55643                            ,counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 740,B,  1,R, 1,  99.00,      0.9900,Stockwell,Diatoms                                      ,               ,                  ,18591                             ,6480                              ,12430                            ,counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.
,,,,,,,,,,,,,,,,,,,,
