Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera coronata,Stylatractus ostracion,Theocyrtis litos,Cenosphaera eocenica,Dictyomitra amygdala,Lithocarpium titan,Carposphaera magnaporulosa,Cenosphaera coronata,Sphaeropyle robusta,Cenosphaera sp.,Stylosphaera angelina,Lithocarpium polyacantha,Cyrtocapsella tetrapera,Stylatractus universus,Anthocyrtella (?) callopisma,Amphymenium amphistylium,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cenosphaera coronataformis,Gen. et sp. indet,Stichocorys wolffii,Stichocorys diploconus,Stichocorys delmontensis,Cycladophora cosma cosma,Sphaeropyle langii,Lipmanella redondoensis,Diplocyclas cornutoides,Cornutella profunda,Acrospyris lingi,Theocorys redondoensis,Prunopyle hayesi,Corythospyris? sp.,Eucyrtidium calvertense,Eucyrtidium asanoi,Amphymenium amphistylium group,Lithopera renzae,Eucyrtidium inflatum,Dictyophimus splendens,Clathrocyclas bicornis group,Lychnocanoma nipponica magnacornuta,Lychnocanium nipponicum magnacornutum,Lychnocanoma nipponica nipponica,Phormostichoartus fistula,Stichocorys peregrina,Stichocorys sp. P,Botryostrobus bramlettei,Botryostrobus auritus/australis,Actinomma popofskii,Stylacontarium acquilonium,Cycladophora pliocenica,Axoprunum acquilonius,Botryostrobus aquilonaris,Lamprocyrtis heteroporos,Androcyclas heteroporos,Haliommetta miocenica,Cycladophora davisiana davisiana,Lamprocyrtis neoheteroporos,Diplocyclas davisiana,Lychnocanoma nipponica sakaii,Androcyclas neoheteroporos,Axoprunum bispiculum,Phormostichoartus pitomorphus,Eucyrtidium matuyamai,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B,  1,H, 1,  20.00,      0.2000,Morley   ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,                      ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,C                       ,F                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,                          ,                       ,                     ,C                        ,                        ,                       ,T                    ,F                               ,                           ,                     ,T                            ,                          ,                    ,                             ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B,  1,H, 4, 135.00,      5.8500,Morley   ,Radiolarians                                 ,F              ,G                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,                      ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,F                       ,R                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,                          ,                       ,                     ,                         ,                        ,                       ,T                    ,C                               ,                           ,                     ,C                            ,                          ,                    ,                             ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B,  2,H, 5, 135.00,     13.8500,Morley   ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,                      ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,F                       ,R                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,                          ,                       ,                     ,                         ,                        ,                       ,R                    ,C                               ,                           ,                     ,F                            ,                          ,                    ,                             ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B,  3,H, 5, 135.00,     23.3500,Morley   ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,-                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,C                       ,F                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,+                         ,                       ,                     ,C                        ,                        ,                       ,R                    ,C                               ,                           ,                     ,+                            ,                          ,                    ,                             ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
