Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira oestrupii,Stephanopyxis turris,Rhizosolenia barboi,Neodenticula koizumii,Neodenticula kamtschatica,Neodenticula cf. N. seminae,Grammatophora sp.,Coscinodiscus marginatus,Thalassiosira convexa,Thalassiosira antiqua,Rhaphoneis sp.,Paralia sulcata,Hemidiscus cuneiformis,Azpeitia nodulifera,Thalassiothrix longissima,Nitzschia granulata,Cocconeis scutellum,Denticulopsis lauta s.l.,Cocconeis costata,Pinn* spp.,Neodenticula seminae,Cocconeis sp.,Amphora sp.,Nitzschia reinholdii,Neodenticula cf. N. koizumii,Coscinodiscus radiatus,Nitzschia fossilis,Cymbella sp.,Rhopalodia sp.,Cocconeis decipiens,Actinoptychus senarius,Thalassiothrix spp.,Thalassiosira leptopus,Neodenticula cf. N. kamtschatica,Actinocyclus curvatulus,Actinocyclus oculatus,Neodenticula seminae (sensu Akiba),Nitzschia marina,Diatom fragments (girdle bands),Actinocyclus ingens,Thalassionema nitzschioides,Rhizosolenia curvirostris,Aulacosira granulata,Thalassiosira spp.,Navicula sp.,Denticulopsis hustedtii,Biddulphia aurita,Coscinodiscus sp.,Actinocyclus ehrenbergii,Pseudoeunotia doliolus,Denticulopsis lauta,Delphineis spp.,Cocconeis californica,Epithemia sp.,Denticulopsis hyalina,Thalassiosira eccentrica,Sponge spicules,Thalassionema nitzschioides  var. parva,Gomphonema sp.,Cocconeis cf. C. californica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1018,A,  1,H,CC,  16.00,      4.8400,Maruyama ,Diatoms                                      ,F              ,P                 ,                       ,C                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,T                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,C                     ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,R                          ,                         ,                    ,F                 ,R           ,                       ,                 ,F                ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,R              ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1018,A,  2,H,CC,  12.00,     14.4500,Maruyama ,Diatoms                                      ,C              ,P/M               ,                       ,C                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,R                   ,R            ,R          ,                    ,                            ,                      ,                  ,            ,R             ,                   ,R                     ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,R                          ,                         ,R                   ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,R                       ,T              ,                                       ,T             ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1018,A,  3,H,CC,  19.00,     24.3900,Maruyama ,Diatoms                                      ,F              ,P                 ,                       ,C                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,F              ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,                    ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,F                          ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,C              ,                                       ,              ,R                           ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1018,A,  4,H,CC,  33.00,     33.9100,Maruyama ,Diatoms                                      ,C              ,M                 ,                       ,C                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,R                        ,                   ,                   ,                        ,                 ,          ,                    ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,R                     ,                   ,                      ,                                ,R                      ,                     ,                                  ,                ,                               ,                   ,                           ,                         ,                    ,                  ,R           ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,F              ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
