Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Toweius magnicrassus	Toweius callosus	Sphenolithus radians	Reticulofenestra pseudogammation	Reticulofenestra floridana	Neococcolithes dubius	Nannotetrina cristata	Ericsonia formosa	Discoaster sublodoensis	Discoaster lodoensis	Discoaster kuepperi	Discoaster gemmifer	Discoaster cf. saipanensis	Discoaster barbadiensis	Coccolithus pelagicus	Chiphragmalithus calathus	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus eograndis	Reticulofenestra dictyoda	Discoaster binodosus	Sphenolithus moriformis	Reticulofenestra sp.	Reticulofenestra samodurovii	Discoaster distinctus	Discoaster cf. septemradiatus	Discoaster sp.	Discoaster saipanensis	Chiasmolithus sp.	Nannotetrina fulgens	Discoaster cf. sublodoensis	Chiasmolithus modestus	Reticulofenestra hillae	Chiasmolithus titus	Pontosphaera duocava	Markalius inversus	Blackites tenuis	Discoaster multiradiatus	Cruciplacolithus delus	Chiasmolithus gigas	Chiasmolithus expansus	Neococcolithes sp.	Cyclicargolithus floridanus	Discoaster bifax	Reticulofenestra reticulata	Reticulofenestra bisecta	Rhabdosphaera sp.	Reticulofenestra spp.	Discoaster spp.	Reticulofenestra umbilica	Neococcolithes minutus	Isthmolithus recurvus	Isthmolithus recurvus s.s.	Dictyococcites spp.	Coccolithus eopelagicus	Reticulofenestra hampdenensis	Sphenolithus sp. cf. primus	Chiasmolithus medius	Discoaster tanii nodifer	Chiasmolithus oamaruensis	Reticulofenestra oamaruensis	Dictyococcites bisectus	Discoaster tanii	Isthmolithus recurvus triplus	Reticulofenestra minutula	Reticulofenestra perplexa	Pyrocyclus sp.	Discoaster deflandrei	Coronocyclus sp.	Reticulofenestra pseudoumbilica	Placolith (small)	Calcidiscus macintyrei	Reticulofenestra spp. (small)	Reticulofenestra gelida	Pseudoemiliania lacunosa	Discoaster brouweri	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Gephyrocapsa (small)	Calcidiscus leptoporus	Comment



  SR	                 	Pleistocene      	                  	              	145	 884	B	  3	H	CC	   0.00	     25.5700	Olafsson 	Nannofossils                                 	R              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	R                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	R                	                      	                             	                       	                        	                   	                     	                         	R                   	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Pleistocene      	                  	              	145	 884	B	  6	H	CC	  27.00	     54.3900	Olafsson 	Nannofossils                                 	R              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	R                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Pleistocene      	                  	              	145	 884	B	  9	H	 2	  79.00	     75.2900	Olafsson 	Nannofossils                                 	A              	G                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	C                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	R                     	                             	                       	R                       	                   	F                    	F                        	C                   	R                     	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Pliocene         	                  	              	145	 884	B	 18	X	 3	  81.00	    145.3100	Olafsson 	Nannofossils                                 	A              	G                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	F                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	F                  	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	R                     	A                            	                       	R                       	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628
