Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera spp.	Thoracosphaera spp.	Thoracosphaera saxea	Syracosphaera spp.	Scyphosphaera sp. (fragment)	Scyphosphaera pulcherrima	Scyphosphaera apsteinii	Scapholithus fossilis	Rhabdosphaera stylifera	Rhabdosphaera clavigera	Reticulofenestra spp. (small - medium)	Pseudoemiliania lacunosa	Pontosphaera spp.	Pontosphaera japonica	Oolithotus fragilis	Holodiscolithus spp.	Helicosphaera sellii	Helicosphaera pavimentum	Helicosphaera kamptneri	Helicosphaera hyalina	Hayaster perplexus	Gephyrocapsa spp. (small)	Emiliania ovata	Discoaster triradiatus	Discoaster tamalis	Discoaster surculus	Discoaster stellulus	Discoaster spp. (fragments)	Discoaster spp. (5 rays)	Discoaster sp. A	Discoaster pentaradiatus	Discoaster ono	Discoaster brouweri	Discoaster asymmetricus	Dictyococcites productus	Cycloperfolithus carlae	Cyclolithus annulus	Coccolithus pelagicus	Coccolithus pataecus	Ceratolithus rugosus	Calcidiscus macintyrei	Calcidiscus leptoporus	Ceratolithus cristatus	Discoaster blackstockae	Discoaster tamalis (grainy)	Discoaster spp. (6 rays)	Thoracosphaera saxea (fragments)	Sphenolithus spp.	Discoaster surculus (grainy)	Discoaster spp. (fragments & grainy)	Discoaster pentaradiatus (grainy)	Discoaster brouweri (grainy)	Comment



  SR	Pliocene         	                 	CN12b             	              	135	 838	B	  9	R	CC	  25.00	    211.1500	Styzen   	Nannofossils                                 	               	                  	C                   	                   	                    	M                 	R                           	                         	                       	F                    	F                      	                       	V                                     	A                       	F                	                     	R                  	                    	                    	                        	C                      	R                    	                  	V                        	M              	                      	                  	                   	                    	                           	F                       	                	R                       	              	                   	                       	F                       	                       	F                  	R                    	                    	                    	F                     	C                     	                      	                       	                           	S                       	F                               	                 	S                           	M                                   	F                                	S                           	from ODP Leg 135 Chapter 13 Table 8 p 201

  SR	Pliocene         	                 	CN12b             	              	135	 838	B	 10	R	CC	   4.00	    220.6400	Styzen   	Nannofossils                                 	               	                  	R                   	                   	                    	R                 	                            	                         	                       	                     	                       	                       	R                                     	R                       	                 	                     	                   	                    	                    	                        	                       	                     	                  	R                        	R              	                      	                  	                   	                    	R                          	R                       	                	                        	              	                   	                       	                        	                       	R                  	                     	                    	                    	R                     	                      	                      	                       	                           	                        	                                	                 	                            	                                    	                                 	                            	from ODP Leg 135 Chapter 13 Table 8 p 201

  SR	Pliocene         	                 	CN12a             	              	135	 838	B	 11	R	 1	  20.00	    230.4000	Styzen   	Nannofossils                                 	               	                  	M                   	S                  	                    	L                 	S                           	F                        	                       	F                    	V                      	S                      	C                                     	W                       	S                	                     	F                  	                    	R                   	                        	L                      	                     	R                 	X                        	V              	R                     	                  	M                  	                    	L                          	                        	                	C                       	R             	M                  	S                      	                        	                       	M                  	                     	R                   	R                   	C                     	C                     	                      	                       	R                          	                        	S                               	R                	                            	                                    	                                 	                            	from ODP Leg 135 Chapter 13 Table 8 p 201

  SR	Pliocene         	                 	CN12a             	              	135	 838	B	 11	R	 1	  42.00	    230.6200	Styzen   	Nannofossils                                 	               	                  	C                   	S                  	                    	L                 	R                           	R                        	R                      	R                    	A                      	F                      	C                                     	V                       	                 	                     	C                  	                    	R                   	                        	C                      	R                    	S                 	X                        	W              	R                     	S                 	F                  	                    	A                          	R                       	                	C                       	S             	C                  	F                      	R                       	                       	M                  	R                    	F                   	R                   	M                     	C                     	                      	                       	R                          	S                       	                                	                 	                            	                                    	                                 	                            	from ODP Leg 135 Chapter 13 Table 8 p 201
