Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocapsa spp.	Cenosphaera spp.	Stylosphaera coronata	Podocyrtis mitrella	Lithomitra  micropore	Gorgospyris hemisphaerica	Dictyoprora amphora	Eusyringium striata striata	Dictyoprora mongolfieri	Dictyomitra amygdala	Phormocyrtis embolum	Artobotrys auriculaleporis	Stylatractus ostracion	Lithomitrella elizabethae	Lychnocanium conicum	Lithomitrella minuta	Lychnocanella babylonis	Axoprunum losbanosensis	Stylosphaera minor	Dictyopora urceolus	Clathrocyclas extensa	Artobotrys titanothericeraos	Spongosphaera pachystyla	Cenosphaera aspera	Cenosphaera eocenica	Calocyclas asperum	Stylosphaera angelina	Clathrocyclas universa	Axoprunum bispiculum	Lithocarpium titan	Spongodiscus osculosus	Cenosphaera coronata	Sphaeropyle robusta	Lipmanella redondoensis	Cyrtocapsella tetrapera	Amphymenium amphistylium group	Cyrtocapsella cornuta	Cenosphaera coronataformis	Stichocorys delmontensis	Diplocyclas cornutoides	Stichocorys diploconus	Lithocarpium polyacantha	Lithocampe subligata	Acrospyris lingi	Stichocorys sp. P	Eucyrtidium calvertense	Eucyrtidium asanoi	Cornutella profunda	Cyrtocapsella japonica	Eucyrtidium inflatum	Lychnocanium nipponicum magnacornutum	Lychnocanium nipponicum	Botryostrobus auritus/australis	Stichocorys wolffii	Axoprunum acquilonius	Botryostrobus bramlettei	Clathrocyclas bicornis group	Androcyclas heteroporos	Botryostrobus aquilonaris	Sphaeropyle langii	Diplocyclas davisiana	Comment



  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 883	B	  8	H	CC	  18.00	     74.8100	Shilov   	Radiolarians                                 	A              	G                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	A                      	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	                               	                   	A                    	                        	                            	                       	                         	R                 	A                    	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 883	B	  9	H	CC	  23.00	     84.0700	Shilov   	Radiolarians                                 	A              	G                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	R                  	                       	                       	                              	                     	                          	                        	A                      	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	                               	                   	A                    	                        	                            	R                      	                         	                  	A                    	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 883	B	 10	H	CC	  27.00	     92.6900	Shilov   	Radiolarians                                 	R              	G                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	                       	                      	                        	                    	                	                 	                       	                  	R                  	                      	                    	                                     	                       	                               	                   	C                    	                        	                            	                       	R                        	R                 	R                    	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 883	B	 11	H	CC	  11.00	    103.1400	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	C                      	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	                               	                   	R                    	                        	                            	R                      	                         	R                 	C                    	from Leg 145 SR; Ch 5; Table 3; p. 98-100
