Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Spiroloculina pusilla	Quinqueloculina oblonga	Pleurostomella acuta	Nuttallides umbonifera	Melonis pompilioides	Melonis barleeanus	Lenticulina sp.	Gyroidina soldanii	Fontbotia wuellerstorfi	Epistominella exigua	Eggerella bradyi	Cibicidoides cicatricosus	Sigmoilina schlumbergeri	Pyrgo spp.	Cibicidoides kullenbergi	Pullenia quinqueloba	Pullenia bulloides	Nodosaria holoserica	Gyroidina lamarckiana	Globocassidulina subglobosa	Agglutinated sp. 1	Pullenia salisburyi	Chilostomella argentae	Stilostomella sp.	Valvulineria sp.	Laticarinina pauperata	Agglutinated sp. 2	Triloculina tricarinata	Spirosigmoilinella sp.	Agglutinated sp. 3	Rosalina sp.	Ehrenbergina trigona	Cribrostomoides sp.	Quinqueloculina venusta	Bolivina sp.	Bulimina marginata	Bulimina alazanensis	Oridorsalis spp.	Siphonodosaria gracillima	Laryngosigma hyalascidia	Hoeglundina elegans	Fursenkoina spp.	Karreriella bradyi	Globobulimina auriculata	Sphaeroidina bulloides	Gyroidina zealandica	Silicosigmoilina sp.	Nodosariidae (taxa)	Stilostomella lepidula	Trifarina angulosa	Uvigerina proboscidea	Comment
  SR	                 	                 	                  	              	145	 883	B	 16	H	 5	   5.00	    146.9500	Ishman   	Benthic Foraminifers                         	               	M                 	2                  	                     	34                     	5                   	19                    	26                  	6                 	6              	1                 	46                     	1                   	14              	                         	                        	          	                        	10                  	                  	                    	5                    	                           	1                 	4                  	                      	1                	12              	3                     	6                 	1                      	                      	4                 	1           	1                   	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 203; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 5	  45.00	    147.3500	Ishman   	Benthic Foraminifers                         	               	M                 	9                  	                     	49                     	5                   	54                    	23                  	5                 	5              	2                 	56                     	                    	15              	                         	                        	7         	                        	9                   	                  	                    	13                   	                           	                  	1                  	5                     	1                	13              	4                     	14                	1                      	1                     	16                	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 303; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 5	  85.00	    147.7500	Ishman   	Benthic Foraminifers                         	               	M                 	4                  	2                    	52                     	2                   	16                    	10                  	1                 	1              	3                 	23                     	                    	4               	                         	                        	          	                        	8                   	                  	                    	7                    	                           	                  	1                  	                      	2                	4               	1                     	4                 	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 144; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 5	 120.00	    148.1000	Ishman   	Benthic Foraminifers                         	               	M                 	10                 	                     	70                     	3                   	20                    	30                  	1                 	1              	6                 	27                     	                    	6               	                         	                        	3         	                        	10                  	1                 	                    	                     	1                          	                  	                   	2                     	1                	                	                      	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 191; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 6	  15.00	    148.5500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	35                     	1                   	2                     	16                  	                  	               	5                 	22                     	                    	1               	                         	                        	1         	                        	3                   	                  	                    	4                    	2                          	                  	1                  	2                     	                 	                	                      	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 95; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 6	  50.00	    148.9000	Ishman   	Benthic Foraminifers                         	               	M                 	1                  	                     	25                     	2                   	9                     	9                   	                  	               	3                 	9                      	3                   	11              	                         	2                       	4         	                        	14                  	1                 	5                   	15                   	9                          	2                 	                   	                      	                 	                	                      	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 124; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 6	 135.00	    149.7500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	2                    	6                      	                    	2                     	20                  	                  	               	12                	7                      	1                   	3               	                         	2                       	1         	2                       	                    	                  	                    	                     	                           	                  	                   	                      	                 	                	                      	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 58; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 7	  25.00	    150.1500	Ishman   	Benthic Foraminifers                         	               	M                 	1                  	2                    	12                     	1                   	1                     	22                  	1                 	1              	24                	9                      	3                   	2               	3                        	                        	          	                        	                    	                  	                    	                     	                           	                  	                   	                      	                 	                	                      	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 81; from Leg 145 SR; Ch 8; Table 3; pp 144-145

