Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Spiroloculina pusilla	Quinqueloculina oblonga	Pleurostomella acuta	Nuttallides umbonifera	Melonis pompilioides	Melonis barleeanus	Lenticulina sp.	Gyroidina soldanii	Fontbotia wuellerstorfi	Epistominella exigua	Eggerella bradyi	Cibicidoides cicatricosus	Sigmoilina schlumbergeri	Pyrgo spp.	Cibicidoides kullenbergi	Pullenia quinqueloba	Pullenia bulloides	Nodosaria holoserica	Gyroidina lamarckiana	Globocassidulina subglobosa	Agglutinated sp. 1	Pullenia salisburyi	Chilostomella argentae	Stilostomella sp.	Valvulineria sp.	Laticarinina pauperata	Agglutinated sp. 2	Triloculina tricarinata	Spirosigmoilinella sp.	Agglutinated sp. 3	Rosalina sp.	Ehrenbergina trigona	Cribrostomoides sp.	Quinqueloculina venusta	Bolivina sp.	Bulimina marginata	Bulimina alazanensis	Oridorsalis spp.	Siphonodosaria gracillima	Laryngosigma hyalascidia	Hoeglundina elegans	Fursenkoina spp.	Karreriella bradyi	Globobulimina auriculata	Sphaeroidina bulloides	Gyroidina zealandica	Silicosigmoilina sp.	Nodosariidae (taxa)	Stilostomella lepidula	Trifarina angulosa	Uvigerina proboscidea	Comment

  SR	                 	                 	                  	              	145	 883	B	 14	H	 6	  55.00	    129.9500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	2                      	3                   	3                     	2                   	1                 	1              	1                 	5                      	                    	3               	                         	                        	          	                        	                    	                  	                    	                     	9                          	                  	1                  	1                     	1                	                	2                     	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	1,Total count = 35; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 14	H	 6	  90.00	    130.3000	Ishman   	Benthic Foraminifers                         	               	M                 	1                  	                     	11                     	3                   	1                     	5                   	                  	               	1                 	2                      	1                   	1               	                         	                        	          	                        	                    	                  	                    	                     	1                          	                  	                   	                      	                 	                	                      	                  	                       	                      	                  	3           	                    	                   	                       	            	                  	                    	1               	                         	                        	                   	                	2                 	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 33; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 14	H	 6	 136.00	    130.7600	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	4                      	1                   	4                     	12                  	1                 	1              	2                 	3                      	                    	                	                         	                        	          	                        	                    	                  	                    	                     	3                          	                  	2                  	                      	                 	                	                      	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	1               	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 33; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 14	H	 7	  25.00	    131.1500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	1                    	5                      	2                   	2                     	13                  	                  	               	1                 	7                      	                    	6               	                         	                        	          	                        	2                   	                  	                    	                     	57                         	                  	4                  	                      	1                	2               	1                     	                  	                       	                      	                  	            	2                   	                   	                       	            	                  	1                   	1               	                         	                        	                   	                	1                 	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 109; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 1	  45.00	    131.8500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	5                      	2                   	4                     	8                   	                  	               	                  	35                     	2                   	10              	                         	                        	          	1                       	                    	1                 	                    	1                    	2                          	1                 	3                  	                      	                 	13              	3                     	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	1                 	                     	,Total count = 92; from Leg 145 SR; Ch 8; Table 3; pp 144-145
