Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Naviculopsis constricta	Naviculopsis biapiculata	Distephanus speculum triommata	Distephanus speculum speculum	Distephanus speculum minutus	Distephanus speculum diommata	Distephanus speculum binoculus	Distephanus schauinslandii	Distephanus quinquangellus	Distephanus crux scutulatus	Distephanus crux crux	Dictyocha deflandrei	Corbisema flexuosa	Bachmannocena apiculata glabra	Bachmannocena apiculata apiculata	Bachmannocena apiculata evexa	Bachmannocena apiculata curvata	Naviculopsis sp. aff. N. navicula (spines)	Distephanus speculum haliomma	Distephanus longispinus	Corbisema triacantha mediana	Corbisema triacantha triacantha	Distephanus quintus	Distephanus crux parvus	Caryocha sp.	Naviculopsis lata var. obliqua	Naviculopsis lata	Naviculopsis eobiapiculata	Naviculopsis ponticula ponticula	Distephanus staurodon	Corbisema triacantha var. nuda	Comment



  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 1	  22.00	    626.5200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	                              	9                            	3                           	                             	                              	4                         	                          	11                         	16                   	                    	                  	9                             	5                                	                             	8                              	                                          	                             	                       	                            	                               	                   	5                      	2           	29                            	2                	                          	1                               	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 1	 104.00	    627.3400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	                              	                             	12                          	                             	                              	R                         	1                         	11                         	15                   	                    	                  	7                             	5                                	1                            	8                              	1                                         	                             	                       	                            	R                              	                   	                       	10          	27                            	2                	                          	R                               	                     	R                             	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 2	  22.00	    628.0200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	                              	1                            	11                          	                             	                              	1                         	R                         	7                          	17                   	                    	                  	2                             	2                                	                             	8                              	                                          	                             	                       	                            	                               	1                  	2                      	15          	31                            	1                	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 2	 104.00	    628.8400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	                              	17                           	                            	                             	                              	                          	1                         	10                         	15                   	                    	                  	3                             	4                                	                             	5                              	                                          	R                            	                       	                            	                               	                   	1                      	18          	26                            	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 3	  22.00	    629.5200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	                              	10                           	                            	                             	                              	                          	                          	9                          	8                    	                    	                  	7                             	3                                	                             	18                             	                                          	                             	                       	                            	                               	                   	1                      	12          	32                            	R                	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

