Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spirosigmoilinella compressa,Martinottiella nodulosa,Haplophragmoides sp. D,Haplophragmoides sp. A,Haplophragmoides compressum,Cyclammina spp.,Cyclammina japonica,Cyclammina cancellata,Ammodiscus sp.,Agglutinated spp. (indeterminate),Thalmannammina cf. parkerae,Rhabdammina sp.,Recurvoides(?) sp.,Martinottiella communis,Haplophragmoides(?) sp.,Eggerella sp. B,Cyclammina sp. C ,Ammovertellina sp.,Ammodiscus macilentus,Oridorsalis tener,Nonionella miocenica,Haplophragmoides spp.,Haplophragmoides sp. C,Gyroidina sp. A,Globobulimina pupoides,Eggerella sp. A,Cyclammina pusilla,Chilostomella oolina,Cassidulinoides tenuis,Cassidulinoides sp.,Calcareous sp. indeterminate,Valvulineria cf. masudai,Tosaia hanzawai,Pullenia sp.,Pullenia bulloides,Psammosphaera compressa,Plectina nipponica,Marginulina cf. glabra,Hopkinsina sp.,Gyroidina spp.,Gyroidina orbicularis,Gaudryinella? sp.,Epistominella sp.,Dentalina spp.,Cribrostomoides cf. crassimargo,Bathysiphon spp.,Trochammina spp.,Nummoloculina sp. B,Nummoloculina sp. A,Miliolinella cf. M. oblonga,Martinottiella sp.,Lagena cf. L. elongata,Chilostomella sp.,Uvigerina spp.,Spiroplectammina sp.,Saccammina sphaerica,Nonionella labradorica,Nodosaria spp.,Nodosaria longiscata,Gyroidinoides planulatus,Globobulimina sp.  indet.,Globobulimina sp.,Fursenkoina sp.,Fursenkoina ishikiensis,Fissurina spp.,Eggerella bradyi,Uvigerina cf. proboscidea,Nonionella(?) sp.  ,Nonionella stella,Miliolinella sp.,Globocassidulina sp. B,Cyclammina? sp.,Ammodiscus concinnus,Plectina(?) sp.,Trochammina(?) sp.,Ammosphaeroidina sp.,Textularia spp.,Quinqueloculina cf. Q. akneriana,Fontbotia wuellerstorfi,Spirosigmoilinella cf. S. compressa,Rectobolivina raphana,Karreriella sp. A,Uvigerina senticosa,Uvigerina cf. U. senticosa,Pullenia salisburyi,Parafissurina curta,Nonion pacificum,Melonis nicobarense,Eggerella spp.,Globobulimina pacifica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,                  ,              ,127, 794,B, 24,R, 4, 126.00,    526.3600,Nomura   ,Benthic Foraminifers                         ,               ,                  ,2.4%                        ,                       ,                      ,                      ,                           ,               ,                   ,                     ,              ,                                 ,1.6%                       ,               ,                  ,5.6%                   ,                       ,               ,19.8%            ,                  ,2.4%                 ,                 ,8.7%                ,                     ,                      ,               ,                      ,               ,2.4%              ,23.0%               ,                      ,                   ,                            ,4.0%                    ,.8%            ,.8%         ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,.8%           ,+                   ,.8%                 ,2.4%                  ,2.4%          ,.8%                 ,2.4%                    ,1.6%                     ,2.4%             ,.8%            ,1.6%                   ,.8%           ,1.6%            ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,Miscellaneous taxa = 10.3%; from ODP Leg 127&128 SR Chapter 29 Table 1 p 495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 24,R,CC,  22.00,    530.4200,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                            ,4                      ,                      ,                      ,                           ,               ,5                  ,                     ,5             ,                                 ,                           ,               ,                  ,                       ,                       ,               ,                 ,                  ,                     ,                 ,6                   ,1                    ,1                     ,               ,                      ,               ,                  ,2                   ,                      ,                   ,2                           ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,2                    ,                 ,                 ,              ,                               ,                ,3               ,1                  ,1                  ,1                          ,1                 ,1                     ,7                ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,                  ,              ,127, 794,B, 25,R, 1,  38.00,    530.6800,Nomura   ,Benthic Foraminifers                         ,               ,                  ,1.7%                        ,                       ,                      ,8.8%                  ,                           ,               ,                   ,1.1%                 ,              ,                                 ,2.2%                       ,+              ,                  ,3.3%                   ,1.1%                   ,               ,15.5%            ,                  ,1.7%                 ,                 ,1.7%                ,                     ,                      ,               ,                      ,               ,5.0%              ,10.5%               ,                      ,                   ,                            ,1.7%                    ,.6%            ,.6%         ,3.3%              ,1.7%                   ,3.3%              ,.6%                   ,1.1%          ,.6%           ,.6%                  ,1.1%             ,4.4%             ,1.7%          ,1.1%                           ,+               ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,Miscellaneous taxa = 25.4%; from ODP Leg 127&128 SR Chapter 29 Table 1 p 495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 25,R,CC,  17.00,    531.1000,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                            ,                       ,                      ,1                     ,                           ,15             ,                   ,                     ,1             ,3                                ,                           ,               ,                  ,1                      ,                       ,               ,                 ,                  ,                     ,2                ,6                   ,7                    ,6                     ,2              ,1                     ,1              ,1                 ,6                   ,1                     ,1                  ,4                           ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,                  ,              ,127, 794,B, 26,R, 1,  24.00,    540.2400,Nomura   ,Benthic Foraminifers                         ,               ,                  ,6.8%                        ,                       ,                      ,6.8%                  ,                           ,               ,                   ,.6%                  ,              ,                                 ,30.4%                      ,+              ,.6%               ,5.0%                   ,1.2%                   ,6.2%           ,17.4%            ,1.2%              ,1.9%                 ,                 ,                    ,                     ,                      ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,Miscellaneous taxa = 21.7%; from ODP Leg 127&128 SR Chapter 29 Table 1 p 495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 26,R, 2,   8.00,    541.5800,Brunner  ,Benthic Foraminifers                         ,               ,                  ,5                           ,2                      ,2                     ,2                     ,1                          ,5              ,3                  ,2                    ,1             ,3                                ,                           ,               ,                  ,                       ,                       ,               ,                 ,                  ,                     ,                 ,                    ,                     ,                      ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
