Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spirosigmoilinella compressa,Martinottiella nodulosa,Haplophragmoides sp. D,Haplophragmoides sp. A,Haplophragmoides compressum,Cyclammina spp.,Cyclammina japonica,Cyclammina cancellata,Ammodiscus sp.,Agglutinated spp. (indeterminate),Thalmannammina cf. parkerae,Rhabdammina sp.,Recurvoides(?) sp.,Martinottiella communis,Haplophragmoides(?) sp.,Eggerella sp. B,Cyclammina sp. C ,Ammovertellina sp.,Ammodiscus macilentus,Oridorsalis tener,Nonionella miocenica,Haplophragmoides spp.,Haplophragmoides sp. C,Gyroidina sp. A,Globobulimina pupoides,Eggerella sp. A,Cyclammina pusilla,Chilostomella oolina,Cassidulinoides tenuis,Cassidulinoides sp.,Calcareous sp. indeterminate,Valvulineria cf. masudai,Tosaia hanzawai,Pullenia sp.,Pullenia bulloides,Psammosphaera compressa,Plectina nipponica,Marginulina cf. glabra,Hopkinsina sp.,Gyroidina spp.,Gyroidina orbicularis,Gaudryinella? sp.,Epistominella sp.,Dentalina spp.,Cribrostomoides cf. crassimargo,Bathysiphon spp.,Trochammina spp.,Nummoloculina sp. B,Nummoloculina sp. A,Miliolinella cf. M. oblonga,Martinottiella sp.,Lagena cf. L. elongata,Chilostomella sp.,Uvigerina spp.,Spiroplectammina sp.,Saccammina sphaerica,Nonionella labradorica,Nodosaria spp.,Nodosaria longiscata,Gyroidinoides planulatus,Globobulimina sp.  indet.,Globobulimina sp.,Fursenkoina sp.,Fursenkoina ishikiensis,Fissurina spp.,Eggerella bradyi,Uvigerina cf. proboscidea,Nonionella(?) sp.  ,Nonionella stella,Miliolinella sp.,Globocassidulina sp. B,Cyclammina? sp.,Ammodiscus concinnus,Plectina(?) sp.,Trochammina(?) sp.,Ammosphaeroidina sp.,Textularia spp.,Quinqueloculina cf. Q. akneriana,Fontbotia wuellerstorfi,Spirosigmoilinella cf. S. compressa,Rectobolivina raphana,Karreriella sp. A,Uvigerina senticosa,Uvigerina cf. U. senticosa,Pullenia salisburyi,Parafissurina curta,Nonion pacificum,Melonis nicobarense,Eggerella spp.,Globobulimina pacifica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B,  5,R,CC,  21.00,    342.5900,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                            ,                       ,                      ,                      ,                           ,               ,                   ,                     ,              ,                                 ,                           ,               ,                  ,                       ,                       ,               ,                 ,                  ,                     ,                 ,                    ,                     ,                      ,2              ,                      ,               ,                  ,2                   ,                      ,                   ,1                           ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,1                    ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,1              ,                                ,2                      ,                                   ,                     ,                 ,4                  ,3                         ,1                  ,1                  ,1               ,1                  ,1             ,                      ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 13,R,CC,  21.00,    418.6600,Brunner  ,Benthic Foraminifers                         ,               ,                  ,1                           ,                       ,                      ,                      ,                           ,               ,                   ,                     ,              ,                                 ,                           ,               ,                  ,                       ,                       ,               ,                 ,                  ,                     ,                 ,                    ,                     ,                      ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,1                 ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,2                 ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,1              ,                                ,                       ,3                                  ,1                    ,2                ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 14,R,CC,  18.00,    428.0600,Brunner  ,Benthic Foraminifers                         ,               ,                  ,2                           ,                       ,                      ,                      ,                           ,               ,                   ,                     ,1             ,1                                ,                           ,               ,                  ,                       ,                       ,               ,                 ,                  ,                     ,                 ,                    ,1                    ,                      ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,2                                  ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 18,R,CC,  14.00,    470.2400,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                            ,1                      ,                      ,                      ,                           ,               ,                   ,                     ,              ,3                                ,                           ,               ,                  ,1                      ,                       ,               ,                 ,                  ,                     ,                 ,                    ,                     ,1                     ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,                  ,                    ,1              ,1                               ,2                      ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,                  ,              ,127, 794,B, 19,R, 1,  82.00,    473.1200,Nomura   ,Benthic Foraminifers                         ,               ,                  ,15.9%                       ,                       ,                      ,                      ,                           ,               ,                   ,                     ,              ,                                 ,                           ,+              ,                  ,11.6%                  ,11.6%                  ,               ,                 ,1.4%              ,10.1%                ,                 ,                    ,                     ,                      ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,1.4%                   ,8.7%              ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,+               ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,+                   ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,               ,                    ,               ,4.3%              ,2.9%                ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,Miscellaneous taxa = 31.9%; from ODP Leg 127&128 SR Chapter 29 Table 1 p 495
