Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Verneuilinidae taxa,Rotaliid taxa (large),Miliolids species,Miliolid taxa (large),Discocyclina sp. cf. D. barkeri,Planorbulina sp.,Discorbid taxa,Alveolina sp.,Rotaliid taxa,Quinqueloculina spp.,Textulariid taxa,Asterocyclina sp.,Foraminifers (encrusting),Alveolina sp. (flosculine),Valvulinidae taxa,Nummulites sp.,Arenobulimina sp.,Nummulites sp. cf. N. deserti,Istriloculina sp.,Alveolina (Glomalveolina) sp.,Alveolina sp. 1,Pseudochrysalidina sp.,Alveolina (Alveolina) sp. aff. A. ilerdensis,Alveolina (Alveolina) sp. 3,Alveolina (Alveolina) ilerdensis,Alveolina sp. aff. A. sakaryaensis,Alveolina (Alveolina) sp. 2,Praehapydionina sp.,Alveolina (Alveolina) pinguis,Nubecularia sp.,Buliminid and Bolivinid taxa,Nummulites nitidus group,Agglutinated spp. (indeterminate),Coleiconus elongatus,Nummulites sp. cf. N. laevigatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  2,R, 1,   0.00,    133.7000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,R                    ,                               ,VR              ,              ,             ,             ,C                   ,1               ,F                ,                         ,                          ,                 ,              ,                 ,1                            ,                 ,                             ,               ,VR                    ,                                            ,                           ,                                ,                                  ,                           ,1                  ,                             ,               ,VR                          ,                        ,R                                ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  2,R, 1,   0.00,    133.7000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,F                   ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  2,R, 1,   1.00,    133.7100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C/A              ,                     ,?                              ,                ,              ,             ,             ,C                   ,                ,F                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,R                                ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  2,R, 1,  11.00,    133.8100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,A                    ,VA               ,F                    ,                               ,F               ,              ,             ,             ,A                   ,                ,R                ,                         ,                          ,                 ,              ,                 ,1                            ,                 ,                             ,               ,F                     ,                                            ,                           ,                                ,                                  ,                           ,R                  ,                             ,               ,R                           ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
