Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thoracosphaera wombatensis	Thoracosphaera sp.	Thoracosphaera geometrica	Prinsiosphaera triassica	Eoconusphaera zlambachensis	Crucirhabdus primulus	Crucirhabdus minutus	Archaeozygodiscus koessenensis	Comment



  SR	Rhaetian         	                 	E. zlambachensis  	              	122	 764	B	  5	R	 1	 105.00	     56.0500	Bralower 	Nannofossils                                 	F              	                  	-                         	-                 	-                        	F                       	R                          	-                    	-                   	-                             	from ODP Leg 122 SR Chapter 25 Figure 5 p 443

  SR	Rhaetian         	                 	E. zlambachensis  	              	122	 764	B	  5	R	CC	  17.00	     56.6000	Bralower 	Nannofossils                                 	A              	                  	R                         	-                 	R                        	A                       	R                          	R                    	R                   	R                             	from ODP Leg 122 SR Chapter 25 Figure 5 p 443

  SR	Rhaetian         	                 	E. zlambachensis  	              	122	 764	B	  6	R	 1	  30.00	     60.3000	Bralower 	Nannofossils                                 	A              	                  	R                         	-                 	-                        	A                       	F                          	-                    	-                   	-                             	from ODP Leg 122 SR Chapter 25 Figure 5 p 443

  SR	Rhaetian         	                 	E. zlambachensis  	              	122	 764	B	  6	R	 1	 132.00	     61.3200	Bralower 	Nannofossils                                 	C              	                  	-                         	-                 	-                        	C                       	F                          	-                    	-                   	-                             	from ODP Leg 122 SR Chapter 25 Figure 5 p 443

  SR	Rhaetian         	                 	E. zlambachensis  	              	122	 764	B	  7	R	 1	  30.00	     65.3000	Bralower 	Nannofossils                                 	C              	                  	R                         	-                 	R                        	C                       	R                          	-                    	-                   	-                             	from ODP Leg 122 SR Chapter 25 Figure 5 p 443

  SR	Rhaetian         	                 	E. zlambachensis  	              	122	 764	B	  7	R	 2	  31.00	     66.8100	Bralower 	Nannofossils                                 	R              	                  	-                         	-                 	-                        	R                       	-                          	-                    	-                   	-                             	from ODP Leg 122 SR Chapter 25 Figure 5 p 443

  SR	Rhaetian         	                 	E. zlambachensis  	              	122	 764	B	  7	R	CC	  22.00	     67.0700	Bralower 	Nannofossils                                 	R              	                  	-                         	-                 	-                        	R                       	-                          	-                    	-                   	-                             	from ODP Leg 122 SR Chapter 25 Figure 5 p 443

  SR	Rhaetian         	                 	E. zlambachensis  	              	122	 764	B	  8	R	 1	  30.00	     70.3000	Bralower 	Nannofossils                                 	R              	                  	-                         	-                 	-                        	R                       	-                          	-                    	-                   	-                             	from ODP Leg 122 SR Chapter 25 Figure 5 p 443

  SR	Rhaetian         	                 	E. zlambachensis  	              	122	 764	B	  8	R	 2	  29.00	     71.7900	Bralower 	Nannofossils                                 	R              	                  	-                         	-                 	-                        	R                       	-                          	R                    	-                   	-                             	from ODP Leg 122 SR Chapter 25 Figure 5 p 443

  SR	                 	                 	                  	              	122	 764	B	  8	R	CC	  24.00	     72.4900	Bralower 	Nannofossils                                 	B              	                  	-                         	-                 	-                        	-                       	-                          	-                    	-                   	-                             	from ODP Leg 122 SR Chapter 25 Figure 5 p 443

