Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudotextularia sp.	Heterohelix sp.	Globotruncana sp. cf. G. bulloides	Globigerinelloides messinae	Globigerinelloides subcarinatus	Globigerinelloides alvarezi	Archaeoglobigerina sp.	Heterohelix globulosa	Hedbergella monmouthensis	Hedbergella holmdelensis	Globotruncanella sp.	Heterohelix striata	Rugoglobigerina sp.	Hedbergella sp.	Comment



  SR	Campanian        	Maestrichtian    	                  	              	144	 874	B	  2	R	 1	  19.00	      9.8900	Erba     	Planktonic Foraminifers                      	               	                  	                    	?              	                                  	                           	                               	                           	F                     	                     	                         	                        	                    	                   	                   	               	from ODP Leg 144 SR; Ch 8; Table 5; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 874	B	  2	R	 1	  67.00	     10.3700	Erba     	Planktonic Foraminifers                      	               	                  	                    	               	                                  	                           	                               	                           	                      	                     	                         	                        	                    	                   	                   	?              	from ODP Leg 144 SR; Ch 8; Table 5; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 874	B	  2	R	 1	  84.00	     10.5400	Erba     	Planktonic Foraminifers                      	               	                  	                    	               	                                  	                           	                               	                           	                      	                     	                         	                        	                    	                   	?                  	               	from ODP Leg 144 SR; Ch 8; Table 5; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 874	B	  2	R	 1	 126.00	     10.9600	Erba     	Planktonic Foraminifers                      	               	                  	                    	               	                                  	                           	                               	                           	                      	                     	                         	                        	                    	?                  	                   	               	from ODP Leg 144 SR; Ch 8; Table 5; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 874	B	  3	R	 1	 114.00	     20.3400	Erba     	Planktonic Foraminifers                      	               	                  	                    	               	                                  	1                          	                               	                           	1                     	C                    	C                        	F                       	?                   	                   	                   	               	from ODP Leg 144 SR; Ch 8; Table 5; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 874	B	 10	R	 1	   5.00	     86.2500	Erba     	Planktonic Foraminifers                      	               	                  	                    	1              	                                  	                           	1                              	1                          	1                     	                     	                         	                        	                    	                   	                   	               	from ODP Leg 144 SR; Ch 8; Table 5; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 874	B	 11	R	 1	   1.00	     91.2100	Erba     	Planktonic Foraminifers                      	               	                  	                    	VR             	                                  	1                          	                               	                           	                      	                     	                         	                        	                    	                   	                   	               	from ODP Leg 144 SR; Ch 8; Table 5; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 874	B	 16	R	 1	  10.00	    116.9000	Erba     	Planktonic Foraminifers                      	               	                  	                    	VR             	                                  	                           	                               	                           	                      	                     	                         	                        	                    	                   	                   	               	from ODP Leg 144 SR; Ch 8; Table 5; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 874	B	 19	R	 1	   7.00	    143.5700	Erba     	Planktonic Foraminifers                      	               	                  	                    	1              	                                  	                           	                               	                           	                      	                     	                         	                        	                    	                   	                   	               	from ODP Leg 144 SR; Ch 8; Table 5; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 874	B	 19	R	 1	  11.00	    143.6100	Erba     	Planktonic Foraminifers                      	               	                  	                    	1              	1                                 	                           	                               	                           	                      	                     	                         	                        	                    	                   	                   	               	from ODP Leg 144 SR; Ch 8; Table 5; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 874	B	 19	R	 1	 120.00	    144.7000	Erba     	Planktonic Foraminifers                      	               	                  	?                   	VR             	                                  	                           	                               	                           	                      	                     	                         	                        	                    	                   	                   	               	from ODP Leg 144 SR; Ch 8; Table 5; p 163

