Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus radians,Sphenolithus pseudoradians,Reticulofenestra umbilica,Markalius inversus,Ericsonia formosa,Discoaster saipanensis,Discoaster barbadiensis,Dictyococcites bisectus,Cribrocentrum reticulatum,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus grandis,Chiasmolithus expansus,Chiasmolithus consuetus,Pemma basquensis,Pemma papillatum,Campylosphaera dela,Isthmolithus recurvus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1052,F,  1,H,CC,  22.00,      9.4000,Mita     ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,C                        ,                  ,R                ,F                     ,F                      ,R                      ,C                        ,                     ,F                      ,                     ,                      ,                       ,                ,                ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1052,F,  2,H,CC,  22.00,     19.4300,Mita     ,Nannofossils                                 ,A              ,G                 ,R                      ,R                   ,                          ,C                        ,                  ,                 ,F                     ,F                      ,R                      ,R                        ,                     ,R                      ,                     ,                      ,                       ,                ,                ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1052,F,  3,H,CC,  27.00,     29.1200,Mita     ,Nannofossils                                 ,A              ,G                 ,R                      ,                    ,R                         ,F                        ,                  ,                 ,F                     ,F                      ,R                      ,F                        ,                     ,R                      ,                     ,                      ,                       ,                ,                ,                   ,R                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,CP14a             ,CP14b         ,171,1052,F,  4,H,CC,  14.00,     38.4200,Mita     ,Nannofossils                                 ,A              ,G                 ,R                      ,                    ,R                         ,R                        ,                  ,R                ,F                     ,F                      ,F                      ,F                        ,                     ,R                      ,                     ,                      ,                       ,                ,                ,R                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1052,F,  6,H,CC,  10.00,     57.3100,Watkins  ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,+                        ,                  ,                 ,+                     ,+                      ,+                      ,+                        ,                     ,                       ,                     ,                      ,                       ,                ,+               ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,171,1052,F,  7,H,CC,  48.00,     63.3200,Mita     ,Nannofossils                                 ,               ,                  ,R                      ,                    ,                          ,R                        ,                  ,                 ,R                     ,R                      ,C                      ,F                        ,                     ,R                      ,                     ,                      ,                       ,                ,                ,                   ,                     ,       
