Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Prediscosphaera cretacea,Nephrolithus frequens,Nephrolithus corystus,Micula decussata,Eiffellithus turriseiffelii,Cribrosphaerella daniae,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Reticulofenestra spp.,Ericsonia formosa,Discoaster spp.,Discoaster lodoensis,Chiasmolithus solitus,Reticulofenestra dictyoda,Pontosphaera spp.,Neococcolithes dubius,Dictyococcites callidus,Coccolithus pelagicus,Chiasmolithus expansus,Reticulofenestra samodurovii,Cyclicargolithus floridanus,Reticulofenestra umbilica,Reticulofenestra reticulata,Dictyococcites bisectus,Chiasmolithus oamaruensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D,  2,R,CC,   8.00,    362.9700,nannos   ,Nannofossils                                 ,A              ,M                 ,                        ,                     ,                     ,                ,                           ,                       ,                            ,                         ,                     ,R                ,               ,                    ,                     ,                         ,                 ,                     ,                       ,                     ,                      ,                            ,                           ,A                        ,C                          ,F                      ,C                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D,  3,R,CC,  12.00,    372.6400,nannos   ,Nannofossils                                 ,A              ,M                 ,                        ,                     ,                     ,                ,                           ,                       ,                            ,                         ,                     ,R                ,               ,                    ,                     ,                         ,                 ,                     ,                       ,                     ,                      ,                            ,                           ,A                        ,C                          ,F                      ,C                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D,  4,R,CC,  13.00,    505.3800,nannos   ,Nannofossils                                 ,R              ,P                 ,                        ,                     ,                     ,                ,                           ,                       ,                            ,                         ,R                    ,                 ,               ,                    ,                     ,                         ,                 ,                     ,                       ,                     ,                      ,                            ,R                          ,                         ,                           ,                       ,                         ,strong dissolution
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D,  5,R,CC,  12.00,    512.9700,nannos   ,Nannofossils                                 ,F              ,P                 ,                        ,                     ,                     ,                ,                           ,                       ,                            ,                         ,F                    ,                 ,               ,                    ,F                    ,                         ,                 ,                     ,                       ,                     ,                      ,                            ,                           ,                         ,                           ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D,  6,R,CC,   8.00,    522.6600,nannos   ,Nannofossils                                 ,F              ,P                 ,                        ,                     ,                     ,                ,                           ,                       ,                            ,                         ,F                    ,                 ,               ,                    ,F                    ,                         ,                 ,                     ,                       ,                     ,                      ,R                           ,                           ,                         ,                           ,                       ,                         ,       
