Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Verrucosisporites spp.	Monosulcites spp.	Camerosporites pseudoverrucatus	Camerosporis secatus	Bisaccate pollen (unspecified taxon or taxa)	Baltisphaeridium/Veryhachium (unspecified taxon or taxa)	Baculatisporites spp.	Aratrisporites spp.	Samaropollenites speciosus	Deltoidospora spp.	Aratrisporites parvispinosus	Plaesiodictyon mosellanum	Freshwater Algae (undifferentiated)	Enzonalasporites vigens	Minutosaccus crenulatus	Trilete spores (unspecified taxon or taxa)	Ephedripites spp.	Bartenia communis	Araicaroacites australis	Comment



  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  6	R	 2	  26.00	    284.7600	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	                    	+                                           	                                                        	                     	+                  	                          	+                 	                            	                         	+                                  	+                      	                       	+                                         	                 	+                	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  7	R	 1	  72.00	    293.2200	Brenner  	Pollen/Spores                                	               	                  	                      	+                	                               	                    	+                                           	                                                        	+                    	                   	                          	+                 	                            	                         	                                   	                       	                       	+                                         	+                	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  7	R	 2	  74.00	    294.7400	Bralower 	Pollen/Spores                                	               	                  	                      	F                	                               	                    	A                                           	C                                                       	R                    	R                  	                          	A                 	                            	                         	R                                  	C                      	R                      	A                                         	                 	R                	F                       	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  8	R	 1	  42.00	    302.4200	Bralower 	Pollen/Spores                                	               	                  	                      	F                	                               	                    	A                                           	C                                                       	R                    	R                  	                          	F                 	                            	                         	                                   	                       	                       	A                                         	                 	                 	R                       	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  8	R	 3	 113.00	    306.0600	Bralower 	Pollen/Spores                                	               	                  	                      	R                	                               	                    	A                                           	A                                                       	R                    	                   	F                         	F                 	                            	                         	                                   	                       	                       	C                                         	                 	                 	F                       	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  9	R	 1	  74.00	    312.2400	Brenner  	Pollen/Spores                                	               	                  	                      	R                	                               	                    	A                                           	A                                                       	                     	R                  	                          	F                 	                            	R                        	R                                  	F                      	F                      	F                                         	R                	                 	R                       	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  9	R	 2	  74.00	    313.7400	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	                    	+                                           	                                                        	                     	                   	                          	                  	                            	+                        	+                                  	+                      	                       	                                          	+                	                 	+                       	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

