Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Helicosphaera carteri	Gephyrocapsa aperta	Cyclococcolithus macintyrei	Cyclococcolithus leptoporus	Coccolithus pelagicus	Pseudoemiliania lacunosa	Gephyrocapsa oceanica	Discolithina sp. cf. D. japonica	Comment



  SR	Quaternary       	                 	NN20              	              	112	 686	A	  8	H	 2	   8.00	     63.6800	Martini  	Nannofossils                                 	               	M                 	R                    	C                  	                           	                           	                     	                        	F                    	                                	reworked Miocene; from ODP Leg 112 SR Chapter 14 Table 10 p 231

  SR	Quaternary       	                 	NN19              	              	112	 686	A	 10	X	 2	  68.00	     74.8800	Martini  	Nannofossils                                 	               	M                 	                     	C                  	                           	F                          	R                    	R                       	F                    	                                	reworked Miocene; from ODP Leg 112 SR Chapter 14 Table 10 p 231

  SR	Quaternary       	                 	NN19              	              	112	 686	A	 12	X	 2	  80.00	     94.0000	Martini  	Nannofossils                                 	               	M                 	R                    	C                  	                           	R                          	R                    	                        	C                    	                                	reworked Miocene; from ODP Leg 112 SR Chapter 14 Table 10 p 231

  SR	Quaternary       	                 	NN19              	              	112	 686	A	 16	X	 2	  31.00	    130.4600	Martini  	Nannofossils                                 	               	M                 	                     	F                  	                           	R                          	R                    	                        	R                    	                                	from ODP Leg 112 SR Chapter 14 Table 10 p 231

  SR	Quaternary       	                 	NN19              	              	112	 686	A	 17	X	 4	  97.00	    144.6700	Martini  	Nannofossils                                 	               	P/M               	                     	F                  	                           	                           	R                    	                        	R                    	                                	from ODP Leg 112 SR Chapter 14 Table 10 p 231

  SR	Quaternary       	                 	NN19              	              	112	 686	A	 18	X	CC	  40.00	    160.0800	Martini  	Nannofossils                                 	               	P/M               	                     	R                  	                           	R                          	R                    	                        	                     	                                	reworked Miocene & Eocene; from ODP Leg 112 SR Chapter 14 Table 10 p 231

  SR	Quaternary       	                 	NN19              	              	112	 686	A	 19	X	CC	  10.00	    167.6700	Martini  	Nannofossils                                 	               	P/M               	                     	F                  	R                          	                           	                     	                        	R                    	R                               	reworked Eocene; from ODP Leg 112 SR Chapter 14 Table 10 p 231

  SR	Quaternary       	                 	NN19              	              	112	 686	A	 20	X	CC	   7.00	    177.2300	Martini  	Nannofossils                                 	               	P                 	                     	R                  	                           	R                          	                     	                        	                     	                                	reworked Eocene; from ODP Leg 112 SR Chapter 14 Table 10 p 231

  SR	Quaternary       	                 	NN19              	              	112	 686	A	 21	X	CC	  13.00	    186.8100	Martini  	Nannofossils                                 	               	P/M               	R                    	R                  	                           	                           	R                    	R                       	                     	                                	reworked Miocene & Eocene; from ODP Leg 112 SR Chapter 14 Table 10 p 231

  SR	Quaternary       	                 	NN19              	              	112	 686	A	 22	X	CC	  11.00	    187.2100	Martini  	Nannofossils                                 	               	P/M               	R                    	R                  	R                          	R                          	R                    	                        	                     	                                	reworked Miocene & Eocene; from ODP Leg 112 SR Chapter 14 Table 10 p 231

