Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Sphenolithus heteromorphus	Reticulofenestra pseudoumbilica	Reticulofenestra minutula	Reticulofenestra minuta	Helicosphaera euphratis	Helicosphaera carteri	Discolithina multipora	Discoaster variabilis	Discoaster deflandrei	Discoaster brouweri	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Calcidiscus leptoporus	Sphenolithus abies	Discoaster bollii	Discoaster barbadiensis	Thoracosphaera spp.	Discoaster pansus	Discoaster calcaris	Catinaster coalitus	Calcidiscus tropicus	Discolithina japonica	Discoaster hamatus	Discoaster pentaradiatus	Hayaster perplexus	Discoaster neohamatus	Sphenolithus grandis	Umbilicosphaera sibogae	Scapholithus fossilis	Discolithina discopora	Catinaster calyculus	Dictyococcites productellus	Discoaster signus	Rhabdosphaera clavigera	Discoaster moorei	Discoaster neorectus	Discoaster prepentaradiatus	Discoaster tamalis	Discoaster intercalaris	Syracosphaera pulchra	Discoaster quinqueramus	Discoaster berggrenii	Discoaster surculus	Comment



  SR	Late Miocene     	                 	NN11              	              	124	 768	C	  1	R	 1	 143.00	    354.6300	Shyu     	Nannofossils                                 	               	                  	C                      	                          	                               	                         	                       	                       	F                    	                      	                     	                     	                   	                           	                          	VR                   	R                     	F                 	                 	                       	                   	                 	VR                 	                   	                    	VR                   	                  	                        	                  	                     	R                   	                       	                     	                      	                    	C                          	                 	VR                     	                 	                    	                           	                  	                       	VR                   	R                      	                     	                   	from ODP Leg 124 SR Chapter 10 Table 5 p 142-144

  SR	Late Miocene     	                 	NN11              	              	124	 768	C	  1	R	 4	  43.00	    358.1300	Shyu     	Nannofossils                                 	               	                  	C                      	                          	                               	                         	                       	                       	F                    	                      	F                    	                     	F                  	                           	                          	R                    	F                     	F                 	                 	                       	                   	                 	F                  	                   	R                   	                     	                  	F                       	                  	R                    	                    	                       	                     	                      	                    	C                          	                 	F                      	                 	                    	                           	                  	                       	                     	F                      	R                    	VR                 	from ODP Leg 124 SR Chapter 10 Table 5 p 142-144

  SR	Late Miocene     	                 	NN10              	              	124	 768	C	  2	R	 3	  50.00	    366.4000	Shyu     	Nannofossils                                 	               	                  	F                      	                          	                               	                         	                       	                       	C                    	                      	R                    	                     	F                  	                           	                          	F                    	F                     	C                 	                 	                       	                   	VR               	F                  	                   	R                   	                     	                  	F                       	                  	                     	                    	                       	                     	                      	                    	C                          	                 	R                      	                 	                    	VR                         	                  	                       	                     	F                      	VR                   	                   	from ODP Leg 124 SR Chapter 10 Table 5 p 142-144

  SR	Late Miocene     	                 	NN10              	              	124	 768	C	  5	R	 1	  33.00	    392.1300	Shyu     	Nannofossils                                 	               	                  	F                      	                          	R                              	                         	                       	                       	R                    	                      	R                    	                     	R                  	                           	                          	                     	                      	R                 	                 	                       	                   	                 	                   	                   	                    	                     	R                 	R                       	                  	R                    	                    	                       	                     	                      	                    	                           	                 	                       	                 	                    	                           	                  	                       	                     	                       	                     	                   	from ODP Leg 124 SR Chapter 10 Table 5 p 142-144
