Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vaginulina petila	Trocholina infragranulata	Tristix acutangulus	Spirillina minima	Saracenaria sp.	Rhizammina spp.	Pyrulina cylindroides	Pyramidulina sceptrum	Pseudonodosaria sp. 1	Planularia complanata	Patellina subcretacea	Osangularia sp. 2	Osangularia sp. 1	Oolina sulcata	Oolina sp.	Nothia latissima	Neobulimina albertensis	Miliolid taxa	Marginulinopsis striatocostata	Lingulonodosaria nodosaria	Lingulina spp.	Lenticulina spp.	Laevidentalina spp. 	Laevidentalina oligostegia	Laevidentalina nana	Laevidentalina linearis	Laevidentalina debilis	Gyroidinoides cf. nitidus	Globulina spp.	Globulina prisca	Globorotalites sp.	Gavelinella spp.	Fursenkoina viscida	Frondicularia lamellatta	Charltonina australis	Bolivina sp. 1	Bolivina sp.	Bolivina anambra	Berthelina  intermedia	Berthelina sp. 	Astacolus calliopsis	?Spiroplectinella sp. 1	Oolina  cf. sulcata	Comment



  SR	                 	                 	                  	              	159	 962	D	  7	R	 1	  40.00	    133.4000	Holbourn 	Benthic Foraminifers                         	               	P                 	-                	-                        	-                  	-                	-              	-              	-                    	-                    	-                    	-                    	-                    	1                	-                	-             	-         	-               	-                      	-            	-                             	-                         	-             	-               	-                   	-                         	-                  	-                      	-                     	-                        	-             	-               	-                 	1               	-                  	-                       	-                    	-             	-           	-               	-                     	-              	-                   	-                      	-                  	Total BF specimens = 2. Total BF species = 2. Diatom = 1. from 159SR Ch 28 Table 2

  SR	                 	                 	                  	              	159	 962	D	  9	R	 1	  18.00	    152.5800	Holbourn 	Benthic Foraminifers                         	B              	M                 	-                	-                        	-                  	-                	-              	-              	-                    	-                    	-                    	-                    	-                    	-                	-                	-             	-         	-               	-                      	-            	-                             	-                         	-             	-               	-                   	-                         	-                  	-                      	-                     	-                        	-             	-               	-                 	-               	-                  	-                       	-                    	-             	-           	-               	-                     	-              	-                   	-                      	-                  	from 159SR Ch 28 Table 2

  SR	                 	                 	                  	              	159	 962	D	  9	R	 1	  34.00	    152.7400	Holbourn 	Benthic Foraminifers                         	               	G                 	-                	-                        	-                  	-                	-              	-              	-                    	-                    	-                    	-                    	1                    	2                	-                	-             	-         	-               	-                      	-            	-                             	-                         	-             	-               	-                   	-                         	-                  	-                      	-                     	-                        	-             	-               	-                 	2               	-                  	-                       	-                    	-             	-           	6               	-                     	-              	-                   	-                      	-                  	Total BF specimens = 5. Total BF species = 3. Radiolaria = C. from 159SR Ch 28 Table 2

  SR	                 	                 	                  	              	159	 962	D	  9	R	 2	  37.00	    154.2700	Holbourn 	Benthic Foraminifers                         	B              	P                 	-                	-                        	-                  	-                	-              	-              	-                    	-                    	-                    	-                    	-                    	-                	-                	-             	-         	-               	-                      	-            	-                             	-                         	-             	-               	-                   	-                         	-                  	-                      	-                     	-                        	-             	-               	-                 	-               	-                  	-                       	-                    	-             	-           	-               	-                     	-              	-                   	-                      	-                  	Radiolaria = C. from 159SR Ch 28 Table 2

