Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Hastigerina digitata	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globorotalia fimbriata	Globorotalia crassaformis viola	Globorotalia crassaformis hessi	Globorotalia crassaformis crassaformis	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerina calida calida	Globigerina bulloides	Bolliella adamsi	Comment



  IR	Holocene         	                 	Z                 	              	155	 937	B	  1	H	CC	   6.00	      7.5500	Showers  	Planktonic Foraminifers                      	R              	G                 	-                           	C                         	-                   	-                           	F                  	-                            	-                     	R                    	-                   	-                     	R                     	-                              	-                              	-                                     	C                                	F                                  	C                            	R                           	-                        	-                    	-               	Zonal assignment uncertain; SF; from Leg 155IR p. 396 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 937	B	  2	H	CC	  28.00	     17.6600	Showers  	Planktonic Foraminifers                      	R              	G                 	F                           	C                         	-                   	-                           	R                  	F                            	-                     	R                    	-                   	-                     	-                     	-                              	-                              	-                                     	F                                	F                                  	F                            	R                           	-                        	-                    	-               	SP; from Leg 155IR p. 396 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 937	B	  3	H	CC	  28.00	     27.1700	Showers  	Planktonic Foraminifers                      	C              	M                 	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	F                                  	C                            	R                           	-                        	-                    	-               	IS; SP; from Leg 155IR p. 396 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 937	B	  4	H	CC	  12.00	     36.2000	Showers  	Planktonic Foraminifers                      	F              	G                 	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	C                            	-                           	-                        	-                    	-               	from Leg 155IR p. 396 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 937	B	  5	H	CC	  28.00	     46.0300	Showers  	Planktonic Foraminifers                      	F              	G                 	-                           	C                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	F                                	C                                  	C                            	R                           	R                        	-                    	-               	M; from Leg 155IR p. 396 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 937	B	  6	H	CC	  46.00	     55.7400	Showers  	Planktonic Foraminifers                      	R              	G                 	-                           	C                         	-                   	-                           	-                  	P                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	F                            	-                           	-                        	-                    	-               	SP; from Leg 155IR p. 396 Table 4

