Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus predistentus	Sphenolithus moriformis	Sphenolithus distentus	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus eopelagicus	Helicosphaera compacta	Zygrhablithus bijugatus	Sphenolithus ciperoensis	Ericsonia fenestrata	Coronocyclus nitescens	Reticulofenestra daviesii	Helicosphaera truempyi	Helicosphaera granulata	Discoaster surculus	Coccolithus miopelagicus	Helicosphaera euphratis	Cyclicargolithus abisectus	Triquetrorhabdulus carinatus	Reticulofenestra gartneri	Helicosphaera intermedia	Discoaster adamanteus	Cyclolithella rotula	Pyrocyclus orangensis	Helicosphaera recta	Sphenolithus conicus	Sphenolithus dissimilis	Orthorhabdus serratus	Discoaster druggii	Sphenolithus belemnos	Sphenolithus heteromorphus	Helicosphaera ampliaperta	Triquetrorhabdulus milowii	Discoaster variabilis	Reticulofenestra pseudoumbilica	Helicosphaera kamptneri	Discoaster exilis	Calcidiscus macintyrei	Pontosphaera japonica	Sphenolithus abies/neoabies	Triquetrorhabdulus rugosus	Reticulofenestra spp. small	Discoaster kugleri	Catinaster coalitus	Calcidiscus leptoporus	Discoaster pentaradiatus	Discoaster brouweri	Discoaster neorectus	Discoaster neohamatus	Discoaster bellus	Discoaster loeblichii	Discoaster challengeri	Catinaster calyculus	Discoaster quinqueramus	Discoaster berggrenii	Reticulofenestra doronicoides	Amaurolithus delicatus	Rhabdosphaera clavigera	Amaurolithus primus	Helicosphaera sellii	Ceratolithus acutus	Pseudoemiliania lacunosa	Amaurolithus tricorniculatus	Amaurolithus amplificus	Syracosphaera pulchra	Scyphosphaera pulcherrima	Ceratolithus rugosus	Oolithotus antillarum	Discoaster asymmetricus	Discoaster tamalis	Discoaster triradiatus	Ceratolithus cristatus	Syracosphaera histrica	Rhabdosphaera stylifera	Gephyrocapsa spp.	Gephyrocapsa caribbeanica	Umbilicosphaera mirabilis	Discoaster prepentaradiatus	Gephyrocapsa oceanica	Umbilicosphaera sibogae	Ceratolithus telesmus	Comment



  SR	Pleistocene      	                 	CN14b             	              	108	 667	A	  1	H	CC	  12.00	      1.3200	Manivit  	Nannofossils                                 	C              	G                 	                         	                       	                      	                     	                           	                     	                       	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	A                      	                 	                      	R                    	                           	                          	                           	                  	                   	C                     	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	C                            	                      	C                      	                   	                    	                   	                        	                            	                       	C                    	                         	F                   	                     	                       	                  	                      	                      	C                     	                       	                 	C                        	C                        	                           	A                    	F                      	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pleistocene      	                 	CN14a             	CN14b         	108	 667	A	  2	H	 3	 110.00	      5.4000	Manivit  	Nannofossils                                 	A              	G                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	A                      	                 	                      	F                    	                           	                          	                           	                  	                   	C                     	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	C                            	                      	C                      	                   	                    	                   	                        	                            	                       	C                    	R                        	R                   	                     	                       	                  	                      	                      	C                     	                       	                 	A                        	C                        	                           	A                    	F                      	R                    	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pleistocene      	                 	CN14a             	CN14b         	108	 667	A	  2	H	 4	 110.00	      6.9000	Manivit  	Nannofossils                                 	A              	G                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	C                      	                 	                      	F                    	                           	                          	                           	                  	                   	F                     	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	C                            	                      	C                      	                   	                    	                   	F                       	                            	                       	F                    	F                        	                    	                     	                       	                  	                      	                      	F                     	F                      	C                	C                        	A                        	                           	A                    	R                      	R                    	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pleistocene      	                 	CN14a             	              	108	 667	A	  2	H	 4	 120.00	      7.0000	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	C                      	                 	                      	R                    	                           	                          	                           	                  	                   	F                     	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	C                            	                      	C                      	                   	                    	                   	F                       	                            	                       	C                    	R                        	R                   	                     	                       	                  	                      	                      	F                     	                       	A                	C                        	C                        	                           	C                    	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59
