Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus sp. cf. Z. nanum,Zeugrhabdotus pseudanthophorus,Watznaueria barnesae,Sphenolithus moriformis,Rotelapillus crenulatus,Rhabdosphaera tenuis,Reinhardtites anthophorus,Prediscosphaera intercisa,Prediscosphaera cretacea,Placozygus fibuliformis,Micula decussata,Manivitella pemmatoidea,Lithraphidites carniolensis,Lithastrinus grillii,Gephyrorhabdus coronadventis,Ericsonia formosa,Eiffellithus turriseiffelii,Eiffellithus eximius,Discoaster lodoensis,Discoaster kuepperi,Discoaster germanicus,Discoaster deflandrei,Discoaster binodosus,Discoaster barbadiensis,Corollithion signum,Corollithion exiguum,Coccolithus pelagicus,Ceratolithoides verbeekii,Campylosphaera dela,Aspidolithus parcus parcus,Aspidolithus parcus expansus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N18C              ,CC19          ,144, 878,C,  1,R, 1,   5.00,      0.0500,Watkins  ,Nannofossils                                 ,A              ,P                 ,F                             ,R                             ,F                   ,                       ,R                      ,                    ,R                        ,F                        ,F                       ,R                      ,R               ,F                      ,F                          ,R                   ,R                           ,                 ,R                          ,R                   ,                    ,                   ,                     ,                     ,                    ,                       ,R                  ,R                   ,                     ,R                        ,                   ,R                         ,R                           ,from ODP Leg 144; Ch 5; Table 1; p 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP10              ,CP11          ,144, 878,C,  1,R, 1,   5.00,      0.0500,Watkins  ,Nannofossils                                 ,A              ,P                 ,                              ,                              ,                    ,C                      ,                       ,R                   ,                         ,                         ,                        ,                       ,                ,                       ,                           ,                    ,                            ,C                ,                           ,                    ,F                   ,F                  ,R                    ,F                    ,F                   ,F                      ,                   ,                    ,F                    ,                         ,F                  ,                          ,                            ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
