Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Heterohelix globulosa	Hedbergella delrioensis	Dicarinella hagni	Whiteinella sp. cf.  W. aprica	Hedbergella sp.	Marginotruncana sinuosa ?	Dicarinella concavata-asymetrica	Dicarinella concavata	Contusotruncana fornicata	Archaeoglobigerina blowi	Globorotalia mayeri	Globoquadrina venezuelana	Catapsydrax unicavus	Catapsydrax dissimilis	Globorotaloides suteri	Globorotaloides hexagona	Globoquadrina dehiscens	Globigerinoides subquadratus	Globigerinoides sacculifer	Globigerinita uvula	Tenuitella sp.	Globigerinita glutinata	Globorotaloides variabilis	Globigerinoides diminutus	Fohsella peripheroronda	Globorotalia praescitula	Globorotalia continuosa	Globigerinoides parawoodi	Globigerinoides bisphericus	Globigerinella praesiphonifera	Clavatorella bermudezi	Protentella prolixa	Globoturborotalita woodi	Fohsella peripheroacuta	Globorotalia archeomenardii	Globigerinoides obliquus	Praeorbulina sicana	Praeorbulina glomerosa	Orbulina suturalis	Dentoglobigerina altispira	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Fohsella lenguaensis	Orbulina universa	Neogloboquadrina humerosa	Globoturborotalita nepenthes	Globorotalia scitula	Globorotalia plesiotumida	Globigerinella aequilateralis	Globorotalia merotumida	Globigerinella obesa	Neogloboquadrina acostaensis	Globorotalia cibaoensis	Globigerinoides extremus	Globigerinoides bulloideus	Globigerina bulloides	Globoturborotalita decoraperta	Globoturborotalita apertura	Globigerinoides seigliei	Globigerinoides bollii	Candeina nitida	Beella praedigitata	Orbulina bilobata	Globigerinoides conglobatus	Globorotalia juanai	Globorotalia limbata	Globorotalia margaritae	Globorotalia tumida	Globorotalia menardii	Neogloboquadrina dutertrei	Sphaeroidinellopsis paenedehiscens	Neogloboquadrina pachyderma (sinistral)	Sphaeroidinella dehiscens	Pulleniatina primalis	Globorotalia hirsuta	Globorotalia crassaformis	Pulleniatina praecursor	Pulleniatina obliquiloculata	Beella digitata	Globorotalia multicamerata	Globorotalia exilis	Globigerinoides ruber	Globorotalia puncticulata	Globorotalia pseudomiocenica	Globigerinoides sacculifer fistulosus	Globorotalia pertenuis	Globorotalia miocenica	Globorotalia tosaensis	Globorotalia inflata	Globorotalia triangula	Globigerinella calida	Neogloboquadrina pachyderma (dextral)	Globorotalia truncatulinoides	Comment



  SR	Pleistocene      	                 	Pt1               	              	159	 960	C	  1	H	 1	  17.00	      0.1700	Norris   	Planktonic Foraminifers                      	A              	M                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	                        	                       	                            	F                         	                   	              	R                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	                        	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	R                            	                       	                    	                            	                       	                        	                          	R                    	                              	                           	                        	                      	R              	                   	                 	                           	                   	                    	                       	R                  	R                    	C                         	                                  	                                       	R                        	                     	                    	F                        	                       	R                           	               	                          	                   	C                    	                         	                            	                                     	                      	                      	R                     	R                   	                      	R                    	R                                    	R                            	From Leg 159SR Ch 34 Table 4

  SR	Pleistocene      	                 	Pt1               	              	159	 960	C	  1	H	 2	  18.00	      1.6800	Norris   	Planktonic Foraminifers                      	A              	M                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	R                       	                       	                            	C                         	                   	              	F                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	R                       	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	R                            	                       	                    	                            	                       	                        	                          	R                    	R                             	                           	                        	F                     	               	                   	                 	                           	                   	                    	                       	R                  	R                    	C                         	                                  	                                       	                         	                     	                    	F                        	                       	                            	               	                          	                   	C                    	                         	                            	                                     	                      	                      	                      	R                   	                      	                     	F                                    	R                            	From Leg 159SR Ch 34 Table 4

  SR	Pleistocene      	                 	Pt1               	              	159	 960	C	  1	H	 3	  17.00	      3.1700	Norris   	Planktonic Foraminifers                      	A              	M                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	R                       	                       	                            	C                         	                   	              	R                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	R                       	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	R                            	                       	                    	                            	                       	                        	                          	R                    	                              	R                          	                        	F                     	               	                   	                 	                           	                   	                    	                       	R                  	R                    	C                         	                                  	                                       	                         	                     	                    	R                        	                       	                            	               	                          	                   	C                    	                         	                            	                                     	                      	                      	                      	R                   	                      	                     	F                                    	                             	From Leg 159SR Ch 34 Table 4

  SR	Pleistocene      	                 	Pt1               	              	159	 960	C	  1	H	 4	  60.00	      5.1000	Norris   	Planktonic Foraminifers                      	A              	M                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	R                       	                       	                            	C                         	                   	              	F                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	                        	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	                             	                       	                    	                            	                       	                        	                          	T                    	                              	                           	                        	F                     	               	                   	                 	R                          	                   	                    	                       	                   	R                    	C                         	                                  	                                       	                         	                     	                    	R                        	                       	                            	               	                          	                   	C                    	                         	                            	                                     	                      	                      	                      	                    	                      	                     	F                                    	                             	From Leg 159SR Ch 34 Table 4
