Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thyrsocyrtis rhizodon	Spongatractus pachystylus	Sethochytris triconiscus	Podocyrtis  ampla	Podocyrtis papalis	Podocyrtis mitra	Podocyrtis dorus	Lithochytris vespertilio	Eusyringium lagena	Eusyringium fistuligerum	Dictyoprora armadillo	Calocyclas hispida	Thyrsocyrtis triacantha	Spongatractus balbis	Podocyrtis trachodes	Dictyoprora mongolfieri	Theocotylissa ficus	Lithocyclia ocellus	Phormocyrtis striata striata	Thyrsocyrtis lochites	Podocyrtis chalara	Tristylospyris triceros	Podocyrtis goetheana	Lithocyclia aristotelis group	Cryptocarpium azyx	Cryptocarpium ornatum	Thyrsocyrtis  tetracantha	Lychnocanoma bellum	Lophocyrtis jacchia	Calocyclas turris	Calocyclas bandyca	Theocyrtis tuberosa	Artophormis barbadensis	Thyrsocyrtis bromia	Podocyrtis sinuosa	Comment



  IR	                 	                 	                  	              	199	1217	A	  1	H	CC	  20.00	      5.4500	nannos   	Radiolarians                                 	R              	M                 	                     	                         	                        	                 	                  	                	                	                        	                  	                        	                     	                  	+                      	                    	                    	                       	                   	                   	                            	                     	                  	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	                 	                 	                  	              	199	1217	A	  4	H	 2	  46.00	     26.4600	nannos   	Radiolarians                                 	T              	P                 	                     	                         	                        	                 	                  	                	                	                        	                  	                        	                     	                  	                       	                    	                    	+                      	                   	                   	                            	                     	                  	                       	                    	                             	                  	+                    	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	                 	                 	                  	              	199	1217	A	  4	H	 3	  45.00	     27.9500	nannos   	Radiolarians                                 	R              	P                 	                     	                         	                        	                 	                  	                	                	                        	                  	                        	                     	                  	+                      	                    	                    	+                      	                   	                   	                            	                     	                  	                       	                    	                             	                  	+                    	                         	                   	                   	                 	+                 	                   	                       	                   	                  	       

  IR	                 	                 	                  	              	199	1217	A	  4	H	 4	  45.00	     28.4500	nannos   	Radiolarians                                 	R              	M                 	+                    	                         	                        	                 	+                 	                	                	                        	                  	+                       	                     	                  	+                      	                    	                    	+                      	                   	                   	                            	                     	                  	                       	                    	                             	                  	+                    	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Late Eocene      	Late Eocene      	RP19              	RP19          	199	1217	A	  4	H	 5	  45.00	     29.9500	nannos   	Radiolarians                                 	F              	M                 	+                    	                         	                        	                 	+                 	                	                	+                       	                  	+                       	                     	                  	-                      	                    	+                   	+                      	                   	                   	                            	                     	+                 	+                      	                    	                             	                  	+                    	-                        	                   	                   	+                	                  	+                  	                       	+                  	+                 	SOME REWORKING; ZONATION TENTATIVE

