Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerina praebulloides	Globigerina ciperoensis	Zeaglobigerina woodi	Paragloborotalia pseudokugleri	Paragloborotalia kugleri	Paragloborotalia continuosa	Jenkinsella siakensis	Jenkinsella semivera	Globorotalia mendacis	Globoquadrina praedehiscens	Globoquadrina dehiscens	Globoquadrina binaiensis	Globigerinoides altiapertura	Globigerina venezuelana	Globigerina officinalis	Globigerina fariasi	Globigerina euapertura	Catapsydrax dissimilis	Cassigerinella chipolensis	Jenkinsella bella	Globigerinoides primordius	Globigerinoides parawoodi	Globigerinoides quadrilobatus	Dentoglobigerina altispira globosa	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinella obesa	Comment



  IR	                 	                 	                  	              	192	1184	A	  2	R	CC	   0.00	    138.2500	Sikora   	Planktonic Foraminifers                      	A              	VG                	F                        	                       	F                   	A                             	                        	                           	R                    	                    	                     	A                          	D                      	                        	R                           	A                      	                       	                   	F                     	F                     	A                         	F                	A                         	                         	A                            	A                                 	F                       	R                         	P                   	Early Miocene - zone M1b

  IR	                 	                 	                  	              	192	1184	A	  3	R	CC	  14.00	    151.9100	Sikora   	Planktonic Foraminifers                      	A              	VG                	F                        	                       	F                   	A                             	                        	                           	R                    	                    	F                    	R                          	A                      	R                       	R                           	A                      	F                      	                   	F                     	F                     	A                         	F                	F                         	R                        	R                            	R                                 	F                       	                          	                    	Early Miocene - zone M2

  IR	                 	                 	                  	              	192	1184	A	  4	R	 1	  10.00	    153.8000	Sikora   	Planktonic Foraminifers                      	A              	VG                	F                        	                       	A                   	R                             	                        	                           	F                    	R                   	F                    	R                          	F                      	R                       	R                           	A                      	F                      	                   	F                     	A                     	F                         	F                	                          	R                        	                             	R                                 	                        	                          	                    	Early Miocene - zone M2

  IR	                 	                 	                  	              	192	1184	A	  4	R	 3	  10.00	    156.8000	Sikora   	Planktonic Foraminifers                      	A              	VG                	F                        	                       	A                   	R                             	                        	                           	F                    	                    	A                    	P                          	R                      	F                       	R                           	A                      	F                      	                   	F                     	F                     	A                         	R                	                          	R                        	                             	                                  	                        	                          	                    	Early Miocene - zone M2

  IR	                 	                 	                  	              	192	1184	A	  4	R	 7	  10.00	    162.5000	Sikora   	Planktonic Foraminifers                      	A              	VG                	F                        	                       	F                   	F                             	cP                      	                           	F                    	F                   	F                    	F                          	R                      	F                       	R                           	A                      	F                      	R                  	F                     	F                     	A                         	A                	R                         	                         	                             	                                  	                        	                          	                    	Early Miocene - zone M2

  IR	                 	                 	                  	              	192	1184	A	  4	R	CC	   0.00	    163.1700	Sikora   	Planktonic Foraminifers                      	A              	VG                	F                        	                       	F                   	A                             	                        	                           	                     	F                   	P                    	A                          	F                      	F                       	R                           	A                      	F                      	                   	F                     	F                     	A                         	A                	                          	                         	R                            	                                  	                        	                          	                    	Early Miocene - zone M2

  IR	                 	                 	                  	              	192	1184	A	  5	R	 1	  20.00	    163.5000	Sikora   	Planktonic Foraminifers                      	A              	VG                	F                        	                       	F                   	R                             	                        	                           	A                    	R                   	A                    	F                          	F                      	F                       	                            	F                      	F                      	P                  	F                     	F                     	F                         	F                	R                         	R                        	                             	                                  	                        	                          	                    	Early Miocene - zone M2

  IR	                 	                 	                  	              	192	1184	A	  5	R	 3	  20.00	    166.5000	Sikora   	Planktonic Foraminifers                      	A              	VG                	F                        	A                      	R                   	A                             	F                       	R                          	                     	                    	F                    	F                          	F                      	F                       	                            	F                      	F                      	R                  	F                     	F                     	F                         	                 	                          	                         	                             	                                  	                        	                          	                    	Early Miocene - zone M1b

  IR	                 	                 	                  	              	192	1184	A	  5	R	CC	   0.00	    167.7500	Sikora   	Planktonic Foraminifers                      	A              	VG                	F                        	F                      	                    	R                             	F                       	                           	                     	                    	F                    	F                          	R                      	F                       	                            	F                      	R                      	F                  	F                     	F                     	F                         	                 	                          	                         	                             	                                  	                        	                          	                    	Early Miocene - zone M1b

  IR	                 	                 	                  	              	192	1184	A	  6	R	CC	   0.00	    178.7800	Sikora   	Planktonic Foraminifers                      	A              	VG                	F                        	A                      	                    	F                             	A                       	                           	                     	                    	F                    	R                          	P                      	F                       	                            	F                      	R                      	R                  	F                     	F                     	A                         	                 	                          	                         	                             	                                  	                        	                          	                    	Early Miocene - zone M1b

  IR	                 	                 	                  	              	192	1184	A	  7	R	CC	   0.00	    190.7800	Sikora   	Planktonic Foraminifers                      	A              	VG                	F                        	A                      	F                   	R                             	A                       	P                          	P                    	F                   	F                    	R                          	P                      	F                       	cP                          	A                      	R                      	R                  	F                     	F                     	F                         	                 	                          	                         	                             	                                  	                        	                          	                    	Early Miocene - zone M1b

  IR	                 	                 	                  	              	192	1184	A	  9	R	 1	   6.00	    201.1600	Sikora   	Planktonic Foraminifers                      	T              	P                 	P                        	P                      	                    	                              	                        	                           	                     	                    	                     	                           	                       	                        	                            	                       	                       	                   	                      	                      	                          	                 	                          	                         	                             	                                  	                        	                          	                    	late early to earliest Olig. - P20-M1a

