Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Gephyrocapsa sp. medium,Calcidiscus macintyrei,Calcidiscus leptoporus,Reticulofenestra asanoi,Helicosphaera carteri,Ceratolithus cristatus,Braarudosphaera bigelowii,Gephyrocapsa omega,Emiliania huxleyi,Gephyrocapsa sp.3 medium,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1054,C,  1,H,CC,  12.00,      8.2200,Raffi    ,Nannofossils                                 ,               ,                  ,                        ,                    ,                         ,                         ,C                      ,                      ,F                     ,                       ,R                    ,                      ,                         ,F                 ,A                ,F                       ,< 0.085> 0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1054,C,  2,H,CC,  11.00,     17.9500,Raffi    ,Nannofossils                                 ,               ,                  ,                        ,                    ,                         ,                         ,A                      ,                      ,                      ,                       ,                     ,                      ,                         ,                  ,F                ,                        ,< 0.085> 0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1054,C,  3,H,CC,  26.00,     27.7300,Raffi    ,Nannofossils                                 ,               ,                  ,C                       ,                    ,A                        ,                         ,                       ,                      ,C                     ,                       ,                     ,                      ,                         ,                  ,                 ,                        ,< 0.46> 0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1054,C,  4,H,CC,  23.00,     28.2000,Raffi    ,Nannofossils                                 ,               ,                  ,C                       ,                    ,A                        ,                         ,                       ,                      ,R                     ,                       ,F                    ,                      ,R                        ,R                 ,                 ,                        ,< 0.46> 0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1054,C,  5,H,CC,  27.00,     37.8200,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,R                   ,A                        ,                         ,C                      ,                      ,F                     ,R                      ,F                    ,                      ,                         ,                  ,                 ,                        ,< 0.46> 0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,C,  9,H,CC,  28.00,     68.2300,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,C                   ,                         ,                         ,A                      ,R                     ,C                     ,                       ,F                    ,                      ,R                        ,                  ,                 ,                        ,< 1.58/1.67> 1.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1054,C, 10,H,CC,  23.00,     77.9200,Raffi    ,Nannofossils                                 ,A              ,G                 ,C                       ,C                   ,A                        ,-                        ,C                      ,-                     ,F                     ,                       ,                     ,                      ,                         ,                  ,                 ,                        ,< 1.25 > 1.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,C, 11,H,CC,  22.00,     87.5100,Raffi    ,Nannofossils                                 ,A              ,M                 ,F                       ,A                   ,A                        ,-                        ,A                      ,-                     ,F                     ,                       ,C                    ,R                     ,                         ,                  ,                 ,                        ,< 1.25 > 1.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1054,C, 12,H,CC,  54.00,     96.7200,Raffi    ,Nannofossils                                 ,A              ,G                 ,C                       ,C                   ,A                        ,-                        ,A                      ,-                     ,F                     ,R                      ,C                    ,R                     ,R                        ,                  ,                 ,                        ,< 1.25 > 1.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,C, 13,H,CC,  35.00,    101.8800,Raffi    ,Nannofossils                                 ,A              ,G                 ,A                       ,A                   ,A                        ,-                        ,F                      ,-                     ,F                     ,                       ,                     ,                      ,                         ,                  ,                 ,                        ,< 1.25 > 1.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
