Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera sellii,Helicosphaera carteri,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Ceratolithus spp.,Discoaster triradiatus,Coccolithus pelagicus,Calcidiscus macintyrei (>11 um),Calcidiscus leptoporus,Discoaster brouweri,Gephyrocapsa oceanica s.l.,Gephyrocapsa large,Gephyrocapsa (small),Reticulofenestra pseudoumbilicus,Gephyrocapsa sp. 3,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1013,A,  1,H,CC,  26.00,      5.0600,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,                    ,C                    ,                  ,                   ,                        ,                 ,                      ,+                    ,                               ,                      ,                   ,                          ,                  ,A                   ,                                ,F                 ,                           ,                         ,+                ,few reworked taxa.from IR.Ch 7.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1013,A,  2,H, 6,  14.00,     12.7400,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,                    ,                     ,                  ,                   ,                        ,                 ,                      ,F                    ,                               ,R                     ,                   ,C                         ,                  ,A                   ,                                ,                  ,                           ,                         ,+                ,from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1013,A,  3,H,CC,  35.00,     24.7300,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,                    ,                     ,                  ,                   ,                        ,                 ,                      ,                     ,                               ,                      ,                   ,C                         ,                  ,A                   ,                                ,                  ,                           ,                         ,                 ,trace reworked taxa.from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1013,A,  4,H, 7,  54.00,     33.1600,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,                    ,F                    ,                  ,                   ,                        ,                 ,                      ,F                    ,                               ,                      ,                   ,+                         ,                  ,A                   ,                                ,                  ,                           ,                         ,                 ,from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1013,A,  5,H,CC,  22.00,     43.4500,Fornaciari,Nannofossils                                 ,A              ,M                 ,F/C                     ,                    ,C                    ,                  ,                   ,                        ,                 ,                      ,C                    ,                               ,                      ,                   ,R                         ,                  ,C/A                 ,F/C                             ,R                 ,C                          ,R/F                      ,                 ,common reworked taxa.from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
