Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra spp.	Reticulofenestra pseudoumbilica	Coccolithus pelagicus	Reticulofenestra minutula	Helicosphaera sellii	Reticulofenestra spp. (small)	Discoaster variabilis	Dictyococcites sp.	Calcidiscus macintyrei	Pseudoemiliania lacunosa	Placolith (small)	Braarudosphaera sp.	Helicosphaera carteri	Calcidiscus leptoporus	Cyclicargolithus floridanus	Reticulofenestra sp. cf. asanoi	Gephyrocapsa oceanica (small)	Comment



  SR	                 	                 	                  	              	145	 882	B	  1	H	CC	  14.00	      4.3600	Olafsson 	Nannofossils                                 	R              	M                 	                     	                               	                     	                         	                    	                             	                     	                  	                      	                        	                 	                   	                     	R                     	                           	                               	                             	"from Leg 145 SR; Ch 39; Table 6, p. 607"

  SR	                 	                 	                  	              	145	 882	B	  4	H	CC	  18.00	     33.1600	Olafsson 	Nannofossils                                 	C              	M                 	                     	                               	C                    	                         	                    	R                            	                     	                  	                      	                        	R                	                   	R                    	R                     	                           	                               	                             	"from Leg 145 SR; Ch 39; Table 6, p. 607"

  SR	                 	                 	                  	              	145	 882	B	  5	H	CC	   4.00	     42.4700	Olafsson 	Nannofossils                                 	C              	M                 	                     	                               	C                    	                         	                    	R                            	                     	                  	                      	                        	                 	                   	                     	R                     	                           	R                              	R                            	"from Leg 145 SR; Ch 39; Table 6, p. 607"

  SR	                 	                 	                  	              	145	 882	B	  6	H	CC	  14.00	     52.2000	Olafsson 	Nannofossils                                 	A              	M                 	                     	                               	R                    	                         	                    	                             	                     	                  	                      	                        	                 	                   	                     	                      	                           	                               	                             	"from Leg 145 SR; Ch 39; Table 6, p. 607"

  SR	                 	                 	                  	              	145	 882	B	  8	H	CC	  22.00	     71.3200	Olafsson 	Nannofossils                                 	R              	P                 	                     	                               	                     	                         	                    	                             	                     	                  	                      	                        	                 	                   	                     	                      	r                          	                               	                             	"from Leg 145 SR; Ch 39; Table 6, p. 607"

  SR	                 	                 	                  	              	145	 882	B	  9	H	CC	  31.00	     80.9300	Olafsson 	Nannofossils                                 	R              	P                 	                     	                               	                     	                         	                    	                             	                     	                  	                      	R                       	                 	                   	                     	                      	                           	                               	                             	"from Leg 145 SR; Ch 39; Table 6, p. 607"

  SR	                 	                 	                  	              	145	 882	B	 10	H	CC	  21.00	     89.8600	Olafsson 	Nannofossils                                 	A              	M                 	                     	                               	C                    	                         	                    	                             	                     	                  	                      	A                       	                 	                   	R                    	R                     	                           	                               	                             	"from Leg 145 SR; Ch 39; Table 6, p. 607"

  SR	                 	                 	                  	              	145	 882	B	 11	H	CC	  27.00	     99.8400	Olafsson 	Nannofossils                                 	R              	M                 	                     	                               	                     	                         	                    	                             	                     	                  	                      	R                       	R                	R                  	                     	                      	                           	                               	                             	"from Leg 145 SR; Ch 39; Table 6, p. 607"

