Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra spp.	Coccolithus pelagicus	Umbilicosphaera jafari	Helicosphaera sp. cf H. paleocarteri	Helicosphaera sp.	Cyclicargolithus abisectus	Cyclicargolithus floridanus	Sphenolithus sp.	Reticulofenestra samodurovii	Reticulofenestra hesslandii	Discoaster sp. aff. D. deflandrei	Dictyococcites bisectus	Coccolithus miopelagicus	Sphenolithus sp. cf S. dissimilis	Reticulofenestra minutula	Reticulofenestra daviesii	Comment



  IR	                 	                 	                  	              	188	1165	C	  2	R	CC	  18.00	    678.5600	paleo    	Nannofossils                                 	F              	M                 	F                    	R                    	                      	                                    	                 	                          	R                          	                	                            	F                          	                                 	                       	                        	                                 	                         	                         	small to medium-sized "gelida" variety of Reticulofenestra

  IR	                 	                 	                  	              	188	1165	C	  3	R	CC	  13.00	    690.8900	paleo    	Nannofossils                                 	R              	P                 	R                    	                     	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	Single partial shield

  IR	                 	                 	                  	              	188	1165	C	  5	R	CC	   0.00	    709.8100	paleo    	Nannofossils                                 	F              	M                 	F                    	                     	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	Questionable R. daviesii, R. hesslandii: R. "gelida" variety

  IR	                 	                 	                  	              	188	1165	C	  6	R	 3	  85.00	    714.7100	paleo    	Nannofossils                                 	F              	P                 	F                    	                     	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	Overgrown R. daviesii?  recrystallized scattered nannos

  IR	                 	                 	                  	              	188	1165	C	  7	R	CC	  11.00	    727.8300	paleo    	Nannofossils                                 	F              	M                 	F                    	F                    	                      	                                    	                 	                          	                           	R               	                            	                           	                                 	                       	                        	                                 	                         	                         	Probable R. daviesii;  Sphenolith? (small, abies-like)

  IR	                 	                 	                  	              	188	1165	C	  8	R	CC	   0.00	    738.9500	paleo    	Nannofossils                                 	F              	M                 	F                    	                     	                      	                                    	                 	                          	                           	                	                            	R                          	                                 	                       	                        	                                 	                         	                         	R. daviesii?

  IR	                 	                 	                  	              	188	1165	C	  9	R	CC	   0.00	    748.8900	paleo    	Nannofossils                                 	F              	M                 	F                    	R                    	                      	                                    	                 	                          	                           	                	R                           	F                          	                                 	                       	                        	                                 	                         	R                        	R. daviesii (marginal I.D.); reworked R. samodurovii

  IR	                 	                 	                  	              	188	1165	C	 11	R	CC	   7.00	    766.5300	paleo    	Nannofossils                                 	R              	M                 	R                    	                     	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 12	R	 4	  24.00	    773.4400	paleo    	Nannofossils                                 	A              	M                 	C                    	F                    	                      	                                    	                 	                          	F                          	                	R                           	C                          	R                                	R                      	                        	                                 	                         	                         	Nice assemblage: Reworked R. samodurovii, D. bisectus

