Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum tenuis,Distephanus bioctonarius bioctonarius,Mesocena quadrangula,Distephanus bioctonarius heptagonus,Distephanus bioctonarius binonarius,Distephanus speculum f. octonarius,Distephanus bioctonarius decimarius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 681,A,  1,H, 1,  89.00,      0.8900,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,38                                   ,                    ,6                                  ,2                                  ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 681,A,  1,H,CC,  12.00,      6.4600,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,7                                    ,                    ,                                   ,2                                  ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 681,A,  2,H,CC,  10.00,     16.1900,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,5                                    ,                    ,                                   ,                                   ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 681,A,  3,H,CC,  10.00,     25.2600,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,1                                    ,                    ,                                   ,1                                  ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
