leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
21,207,A,MIDDLE PLIOCENE,,47.0,65.0,,NO AGE GIVEN,,NO AGE GIVEN,    3,    4,  3.5,DSDP INITIAL REPORTS
21,207,A,LOWER PLIOCENE,,65.0,77.0,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
21,207,A,UPPER MIOCENE,,77.0,119.0,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
21,207,A,MIDDLE MIOCENE,,119.0,126.0,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
21,207,A,MIOCENE,UPPER EOCENE,126.0,128.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    5,   43,   24,DSDP INITIAL REPORTS
21,207,A,MIDDLE MIOCENE,,133.0,142.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
21,207,A,MIDDLE EOCENE,,142.0,270.0,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
21,207,A,LOWER EOCENE,,270.0,285.0,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
21,207,A,UPPER PALEOCENE,,286.0,291.0,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
21,207,A,MIDDLE PALEOCENE,,291.0,300.0,,NO AGE GIVEN,,NO AGE GIVEN,   58,   60,   59,DSDP INITIAL REPORTS
21,207,A,LOWER PALEOCENE,,300.0,309.0,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
