Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis disjuncta	Paragloborotalia opima nana	Globorotalia praescitula	Globorotalia kugleri	Globorotalia birnageae	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides parawoodi	Globigerinoides bulloideus	Globigerinita glutinata	Globigerinella praesiphonifera	Globigerina woodi/G. apertura	Globigerina praebulloides	Globigerina druryi/G. nepenthes	Globigerina ciperoensis	Globigerina brazieri	Globigerina angustiumbilicata	Globigerina angulisuturalis	Catapsydrax parvulus	Catapsydrax dissimilis	Catapsydrax cf. stainforthi	Paragloborotalia mayeri	Globigerinoides subquadratus	Globigerinoides sicanus	Globigerinoides diminutus	Globorotalia peripheroronda	Globigerinoides obliquus	Praeorbulina glomerosa	Globorotalia archeomenardii	Orbulina spp.	Globorotalia peripheroacuta	Globorotalia praefohsi	Sphaeroidinellopsis seminulina	Globoquadrina tripartita/G. binaiensis	Sphaeroidinellopsis kochi	Globorotalia partimlabiata	Globorotalia lenguaensis	Pulleniatina primalis	Neogloboquadrina acostaensis/N. humerosa (sinistral)	Globorotalia plesiotumida	Globorotalia margaritae	Globigerinoides extremus	Globigerinoides conglobatus	Candeina nitida	Neogloboquadrina acostaensis/N. humerosa (dextral)	Globorotalia conoidea	Comment



  SR	Late Miocene     	                 	N. humerosa       	              	122	 762	B	 12	H	 3	  47.00	    102.8700	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	                       	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	                             	                           	                    	                      	                           	                       	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	                         	                          	                        	+                    	                                                    	+                        	+                      	+                       	+                          	+              	+                                                 	+                    	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Late Miocene     	                 	N. humerosa       	              	122	 762	B	 12	H	 4	  47.00	    104.3700	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	                       	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	                             	                           	                    	                      	                           	                       	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	                         	                          	                        	+                    	                                                    	+                        	+                      	+                       	+                          	+              	+                                                 	+                    	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Late Miocene     	                 	N. humerosa       	              	122	 762	B	 12	H	 5	  47.00	    105.8700	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	                       	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	                             	                           	                    	                      	                           	                       	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	                         	                          	                        	+                    	                                                    	+                        	+                      	+                       	+                          	+              	+                                                 	+                    	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Late Miocene     	                 	N. humerosa       	              	122	 762	B	 12	H	 6	  47.00	    107.3700	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	                       	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	                             	                           	                    	                      	                           	                       	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	                         	                          	                        	+                    	                                                    	+                        	+                      	+                       	+                          	+              	+                                                 	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667
