Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella simplex	Hedbergella planispira	Hedbergella delrioensis	Morozovella spinulosa	Globigerinoides higginsi	Acarinina spp.	Acarinina bullbrooki	Truncorotaloides rohri	Globorotaloides spp.	Globorotalia cerroazulensis frontosa	Globigerina hagni	Catapsydrax spp.	Acarinina pentacamerata	Acarinina broedermanni	Morozovella aragonensis	Globigerinatheka index	Acarinina pseudotopilensis	Globigerina senni	Morozovella spp.	Pseudohastigerina micra	Globorotaloides suteri	Globigerina linaperta	Globigerina ouachitaensis	Globigerina eocaena	Truncorotaloides topilensis	Globorotalia opima nana	Globorotalia cerroazulensis	Catapsydrax dissimilis	Globigerina tripartita	Globigerina praebulloides	Globigerina ampliapertura	Globigerina spp.	Globorotalia cerroazulensis cerroazulensis	Globigerina yeguaensis	Hantkenina spp.	Globoquadrina venezuelana	Globigerina cryptomphala	Marginotruncana spp.	Globorotalia increbescens	Globorotalia cocoaensis/cunialensis transition	Catapsydrax unicavus	Globigerina ciperoensis ciperoensis	Globigerina ciperoensis angustiumbilicata	Globigerina ciperoensis	Globigerina sellii	Globorotalia opima opima	Globorotalia opima nana/opima opima transition	Globorotalia obesa	Globoquadrina globularis	Globorotalia siakensis	Globigerina ciperoensis angulisuturalis	Globorotalia mayeri	Globoquadrina spp.	Globorotalia opima nana/continuosa transition	Globigerina binaiensis	Globorotalia fohsi peripheroronda	Globigerina gortanii	Globigerinoides primordius	Globoquadrina altispira altispira	Hastigerina praesiphonifera	Globorotalia praescitula	Globoquadrina dehiscens dehiscens	Globigerinoides trilobus/immaturus	Globigerinoides subquadratus	Globigerinita naparimaensis	Globigerina woodi woodi	Catapsydrax stainforthi	Globigerinoides spp.	Praeorbulina transitoria	Globorotalia miozea/conoidea	Globigerina bulloides	Orbulina universa	Orbulina suturalis	Neogloboquadrina pachyderma	Neogloboquadrina acostaensis	Globorotalia tumida	Globorotalia merotumida	Sphaeroidinellopsis seminulina	Globorotalia crassaformis ronda	Globorotalia puncticulata	Globorotalia crassaformis crassaformis	Orbulina bilobata	Globigerina falconensis	Sphaeroidinellopsis paenedehiscens	Hastigerina siphonifera	Globorotalia scitula	Globorotalia crassaformis	Globorotalia cf. Gr. hirsuta	Globigerinoides ruber (white)	Globigerinoides elongatus/obliquus extremus	Globigerinoides conglobatus	Globigerina decoraperta	Sphaeroidinella dehiscens	Neogloboquadrina dutertrei	Globigerinoides obliquus obliquus	Beella praedigitata	Globorotalia triangula	Globorotalia inflata	Neogloboquadrina atlantica	Globorotalia truncatulinoides	Globorotalia tosaensis	Hastigerina aequilateralis	Globigerina megastoma cariacoensis	Neogloboquadrina humerosa	Beella digitata	Pulleniatina obliquiloculata	Pulleniatina finalis	Globorotalia crassaformis hessi	Pulleniatina primalis	Rotalipora spp.	Comment



  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	  1	R	 2	   8.00	     51.4800	Gervais  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	r                   	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	R                                 	                            	                           	                       	                       	                    	                        	                            	C                    	F                	R                 	C                          	F                           	                   	                       	                              	R                              	                         	R                                     	R                	R                      	                                  	F                      	F                   	R                        	R                           	F                            	R                                          	                           	                       	                         	R                         	R                                	F                  	F                     	C                   	                          	F                            	R                     	F                         	F                                 	R                        	R              	                            	R                   	                               	                     	r              	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	  2	R	 1	 129.00	     61.1900	Gervais  	Planktonic Foraminifers                      	A              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	R                          	                       	                       	                    	                        	                            	R                    	R                	                  	C                          	F                           	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	R                      	                    	                         	                            	F                            	R                                          	                           	                       	                         	                          	R                                	R                  	F                     	F                   	                          	F                            	R                     	R                         	R                                 	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	  3	R	 1	  54.00	     70.1400	Gervais  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	F                    	F                	                  	C                          	F                           	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	R                      	R                   	                         	R                           	R                            	R                                          	                           	                       	                         	R                         	                                 	F                  	                      	C                   	                          	F                            	                      	                          	R                                 	F                        	R              	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	  4	R	 1	  22.00	     79.4200	Gervais  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	C                    	C                	R                 	F                          	F                           	                   	                       	                              	R                              	                         	C                                     	R                	                       	                                  	F                      	F                   	F                        	                            	F                            	R                                          	                           	                       	                         	R                         	F                                	R                  	F                     	C                   	                          	F                            	                      	F                         	F                                 	F                        	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.
