Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra hesslandii,Coccolithus pelagicus,Chiasmolithus altus,Discoaster spp.,Calcidiscus macintyrei,Calcidiscus leptoporus,Reticulofenestra gelida,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra pseudoumbilica,Reticulofenestra umbilica,Reticulofenestra producta,Reticulofenestra perplexa,Isthmolithus recurvus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,                  ,              ,119, 744,B,  1,H,CC,  12.00,      9.7200,Wei      ,Nannofossils                                 ,C              ,M                 ,                           ,C                    ,                   ,               ,                      ,                      ,                       ,                           ,                          ,                               ,                         ,                         ,                         ,                     ,from 119 SR Chapter 26 Table 7 page 476.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN5b              ,CN10          ,119, 744,B,  3,H,CC,  14.00,     21.5200,Wei      ,Nannofossils                                 ,A              ,M                 ,                           ,A                    ,                   ,               ,                      ,R                     ,C                      ,                           ,                          ,                               ,                         ,A                        ,A                        ,                     ,from 119 SR Chapter 26 Table 7 page 476.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN5b              ,CN10          ,119, 744,B,  4,H, 1, 110.00,     22.6000,Wei      ,Nannofossils                                 ,R              ,P                 ,                           ,                     ,                   ,               ,                      ,                      ,                       ,                           ,                          ,                               ,                         ,                         ,R                        ,                     ,from 119 SR Chapter 26 Table 7 page 476.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN5b              ,CN10          ,119, 744,B,  4,H, 2, 110.00,     24.1000,Wei      ,Nannofossils                                 ,A              ,M                 ,                           ,C                    ,                   ,               ,                      ,                      ,C                      ,                           ,                          ,                               ,                         ,A                        ,A                        ,                     ,from 119 SR Chapter 26 Table 7 page 476.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN5b              ,CN10          ,119, 744,B,  4,H, 3, 110.00,     25.6000,Wei      ,Nannofossils                                 ,A              ,G                 ,                           ,A                    ,                   ,               ,                      ,                      ,C                      ,                           ,                          ,                               ,                         ,A                        ,A                        ,                     ,from 119 SR Chapter 26 Table 7 page 476.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN5b              ,CN10          ,119, 744,B,  4,H, 4, 110.00,     27.1000,Wei      ,Nannofossils                                 ,A              ,G                 ,                           ,A                    ,                   ,               ,                      ,                      ,C                      ,                           ,                          ,                               ,                         ,A                        ,A                        ,                     ,from 119 SR Chapter 26 Table 7 page 476.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
