Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera angelina,Stauroxiphos communis,Spongomelissa dilli,Saturnalis circularis,Lithocarpium fragilis,Eucyrtidium punctatum,Cyrtocapsella tetrapera,Cycladophora golli regipileus,Cycladophora golli golli,Circodiscus ellipticus,Prunopyle frakesi,Phormostichoartus fistula,Eucyrtidium biconicum,Desmospyris rhodospyroides,Cycladophora humerus,Botryopera deflandrei,Thyrsocyrtis clausa,Rhizosphaera antarctica,Prunopyle hayesi,Cyrtocapsella cornuta,Stylatractus universus,Cycladophora spongothorax,Actinomma golownini,Prunopyle tetrapila,Cycladophora pliocenica,Velicucullus (all generic taxa),Triceraspyris coronata,Stichocorys peregrina,Prunopyle titan,Lychnocanium grande,Helotholus praevema,Eucyrtidium inflatum,Desmospyris spongiosa,Antarctissa strelkovi,Pseudocubus vema,Eucyrtidium calvertense,Antarctissa cylindrica,Triceraspyris antarctica,Spongotrochus glacialis,Saccospyris antarctica,Prunopyle antarctica,Lithelius nautiloides,Cycladophora davisiana,Botryostrobus auritus/australis,Antarctissa denticulata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,NR3-NR4           ,              ,119, 744,B,  1,H,CC,  12.00,      9.7200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                     ,                   ,T                    ,                     ,                     ,                       ,                             ,                        ,                      ,                 ,                         ,                     ,                          ,                    ,                     ,                   ,                       ,                ,                     ,T                     ,                         ,                   ,                   ,                       ,                               ,                      ,                     ,               ,                   ,                   ,                    ,                     ,                     ,                ,                       ,                      ,C                       ,C                      ,R                     ,T                   ,R                    ,C                     ,T                              ,A                      ,from 119 SR Chapter 28 Table 4 page 522.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,NR6               ,              ,119, 744,B,  2,H,CC,  12.00,     18.5600,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                     ,                   ,                     ,                     ,                     ,                       ,                             ,                        ,                      ,                 ,                         ,                     ,                          ,                    ,                     ,                   ,                       ,                ,                     ,                      ,                         ,                   ,                   ,C                      ,                               ,                      ,                     ,T              ,                   ,                   ,                    ,A                    ,                     ,R               ,A                      ,A                     ,                        ,                       ,                      ,                    ,                     ,                      ,                               ,                       ,from 119 SR Chapter 28 Table 4 page 522.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,NR7               ,              ,119, 744,B,  3,H,CC,  14.00,     21.5200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                     ,                   ,                     ,                     ,                     ,                       ,                             ,                        ,                      ,                 ,                         ,                     ,                          ,                    ,                     ,                   ,                       ,                ,                     ,R                     ,                         ,                   ,R                  ,C                      ,R                              ,R                     ,?                    ,R              ,A                  ,A                  ,A                   ,R                    ,T                    ,                ,                       ,                      ,                        ,                       ,                      ,                    ,                     ,                      ,                               ,                       ,from 119 SR Chapter 28 Table 4 page 522.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NR10              ,NR9           ,119, 744,B,  5,H,CC,  12.00,     41.0600,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                     ,                   ,                     ,                     ,                     ,                       ,                             ,                        ,                      ,                 ,                         ,                     ,A                         ,                    ,                     ,                   ,                       ,R               ,                     ,                      ,A                        ,                   ,R                  ,C                      ,                               ,                      ,                     ,               ,                   ,                   ,                    ,                     ,                     ,                ,                       ,                      ,                        ,                       ,                      ,                    ,                     ,                      ,                               ,                       ,from 119 SR Chapter 28 Table 4 page 522.
