Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys wolffii	Stichocorys delmontensis	Stichocorys armata	Siphostichartus corona	Lithopera renzae	Giraffospyris toxaria	Dorcadospyris alata	Cyrtocapsella cornuta	Carpocanopsis cristata	Calocycletta robusta	Botryostrobus miralestensis	Acrocubus octopylus	Lithopera thornburgi	Calocycletta caepa	Cyrtocapsella japonica	Diartus petterssoni	Stichocorys johnsoni	Diartus hughesi	Solenosphaera omnitubus omnitubus	Theocorythium vetulum	Stylatractus universus	Stichocorys peregrina	Spongaster tetras	Pterocanium prismatium	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Lamprocyrtis heteroporos	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Amphirhopalum ypsilon	Theocorythium trachelium trachelium	Theocalyptra davisiana	Pterocorys minythorax	Lamprocyrtis nigriniae	Lamprocyrtis neoheteroporos	Anthocyrtidium angulare	Collosphaera tuberosa	Comment



  SR	                 	                 	A. ypsilon        	              	138	 844	C	  1	H	CC	  22.00	      9.0700	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                  	                      	                	                     	                   	                     	                      	                    	                           	                   	                    	                  	                      	                   	                    	               	                                 	                     	R                     	                     	R                	                      	                         	                          	                   	                        	                      	                         	                       	-                    	R                                  	R                     	F                    	R                     	                           	                       	-                    	from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 844	C	  2	H	CC	  20.00	     18.5800	Moore    	Radiolarians                                 	C              	P                 	                   	                        	                  	                      	                	                     	                   	                     	                      	                    	                           	                   	                    	                  	                      	                   	                    	               	                                 	F                    	R                     	                     	-                	-                     	                         	                          	                   	R                       	                      	                         	                       	R                    	-                                  	R                     	-                    	-                     	R                          	-                      	                     	Reworked older fauna = Common; from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	S peregrina(RN9)M95	              	138	 844	C	  3	H	CC	  23.00	     28.6300	Moore    	Radiolarians                                 	C              	G                 	                   	                        	                  	                      	                	                     	                   	                     	                      	                    	                           	                   	                    	                  	                      	                   	                    	               	                                 	R                    	R                     	R                    	-                	-                     	-                        	R                         	R                  	-                       	R                     	R                        	R                      	-                    	                                   	                      	                     	                      	                           	                       	                     	Reworked older fauna = Common; from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. penultima (RN8)	              	138	 844	C	  4	H	CC	  22.00	     38.1400	Moore    	Radiolarians                                 	A              	G                 	                   	C                       	                  	-                     	                	                     	                   	                     	                      	                    	                           	                   	                    	F                 	                      	                   	R                   	               	R                                	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	Reworked older fauna = Few; from Leg 138 SR; Chapter 11; Fig 1; p 192-194

