Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Helicosphaera recta	Helicosphaera obliqua	Helicosphaera intermedia	Discoaster trinidadensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Coccolithus eopelagicus	Chiasmolithus altus	Braarudosphaera bigelowii	Sphenolithus moriformis	Sphenolithus ciperoensis	Discoaster deflandrei	Dictyococcites scrippsae	Cyclicargolithus abisectus	Umbilicosphaera sibogae	Syracosphaera pulchra	Scyphosphaera spp.	Helicosphaera kamptneri	Discoaster variabilis	Discoaster quinqueramus	Discoaster ono	Discoaster moorei	Discoaster intercalaris	Discoaster brouweri	Calcidiscus macintyrei	Sphenolithus abies	Calcidiscus leptoporus	Reticulofenestra pseudoumbilicus	Cycloperfolithus carlae	Sphenolithus verensis	Rhabdosphaera stylifera	Amaurolithus primus	Amaurolithus delicatus	Discoaster asymmetricus	Sphenolithus neoabies	Discoaster surculus	Discoaster braarudii	Amaurolithus tricorniculatus	Rhabdosphaera clavigera	Reticulofenestra minuta	Helicosphaera sellii	Discoaster pentaradiatus	Small Gephyrocapsa spp.	Reticulofenestra minutula	Helicosphaera carteri	Dictyococcites antarcticus	Amaurolithus ninae	Pseudoemiliania lacunosa	Pontosphaera japonica	Dictyococcites productus	Gephyrocapsa aperta	Reticulofenestra haqii	Gephyrocapsa caribbeanica	Gephyrocapsa oceanica	Helicosphaera hyalina	Oolithotus fragilis	Scapholithus fossilis	Emiliania huxleyi	Comment



  IR	                 	Quaternary       	NN20              	NN21          	182	1130	A	  1	H	CC	  20.00	      8.4500	Ladner   	Nannofossils                                 	A              	G                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	R                        	                       	                        	                     	                        	                          	                       	F                    	                  	R                      	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	F                      	                       	                    	                        	                       	C                        	                     	                          	                  	                        	                     	                        	C                  	                      	C                        	                     	                     	                   	                     	C                	Contained a reworked S. moriformis

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	A	  2	H	CC	  16.00	     18.0100	Ladner   	Nannofossils                                 	A              	G                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	F                        	                       	                        	                     	                        	                          	                       	F                    	                  	F                      	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	F                      	                       	                    	                        	                       	C                        	                     	                          	                  	                        	                     	                        	A                  	                      	A                        	                     	                     	                   	                     	C                	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	A	  3	H	CC	  10.00	     21.9500	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	R                        	                       	                        	                     	                        	                          	F                      	F                    	                  	C                      	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	F                      	                       	                    	                        	                       	C                        	                     	                          	                  	                        	                     	                        	C                  	                      	C                        	                     	                     	                   	                     	                 	Contained a reworked C. macintyrei

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	A	  4	H	CC	   7.00	     36.7100	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	                         	                       	                        	                     	                        	                          	R                      	                     	                  	F                      	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	C                        	                     	                          	                  	                        	                     	                        	C                  	                      	C                        	                     	                     	                   	                     	C                	       
