Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina incompta	Neogloboquadrina dutertrei	Neogloboquadrina blowi	Globigerinita glutinata	Globigerina bulloides	Neogloboquadrina pachyderma	Hastigerinopsis riedeli	Globigerinita uvula	Globigerinita iota	Globigerina falconensis	Globorotalia crassaformis crassaformis	Globigerina quinqueloba	Globorotalia obesa	Globigerina rubescens	Pulleniatina obliquiloculata	Globorotalia theyeri	Globorotalia pumilio	Globorotalia crassula crassula	Globorotalia crassula viola	Globigerina calida	Orbulina suturalis	Globorotalia scitula	Globoquadrina conglomerata	Globigerinoides elongatus	Orbulina universa	Globorotalia inflata	Neogloboquadrina eggeri	Globorotaloides hexagona	Globorotalia tumida	Globorotalia praepumilio	Globorotalia hirsuta	Globorotalia bermudezi	Globigerinoides trilobus	Globigerinoides tenellus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides immaturus	Globigerinella aequilateralis	Comment



  SR	                 	                 	                  	              	112	 687	A	  1	H	CC	   9.00	      7.5000	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                         	C                         	T                     	C                      	A                    	                           	T                      	                   	F                 	C                      	                                      	A                      	F                 	F                    	T                           	                    	C                   	                              	                           	T                 	                  	T                   	                          	T                        	T                	                    	T                      	F                       	T                  	C                       	T                   	T                     	T                       	F                       	R                         	T                    	T                        	R                            	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	  3	H	CC	   7.00	     26.6700	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                        	T                         	C                     	F                      	F                    	A                          	F                      	T                  	C                 	F                      	                                      	A                      	C                 	T                    	                            	                    	F                   	                              	                           	T                 	T                 	T                   	                          	                         	T                	T                   	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	  4	H	CC	  21.00	     36.3000	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	C                        	F                         	F                     	T                      	C                    	A                          	                       	                   	                  	F                      	                                      	C                      	F                 	T                    	                            	                    	                    	T                             	                           	                  	T                 	T                   	F                         	T                        	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	  5	H	CC	  10.00	     45.5000	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                        	T                         	T                     	C                      	A                    	A                          	                       	                   	                  	A                      	                                      	A                      	                  	                     	                            	                    	                    	T                             	T                          	T                 	                  	                    	                          	                         	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

