Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Nummulites cojimarensis	Miogysina antillea	Lepidocyclina canellei	Gypsina cf. vesicularis	Amphistegina lessoniI	Sorites sp.	Lepidocyclina miraflorensis	Nummulites sp.	Lepidocyclina sp.	Miogysina sp.	Sphaerogypsina sp.	Archaias angulatus	Dictyoconus floridanus	Amphistegina gibbosa	Comment



  SR	                 	                 	                  	              	101	 626	C	  1	X	CC	  17.00	      0.1700	Raymo    	Benthic Foraminifers                         	               	                  	                       	                  	                      	                       	                     	           	                           	              	                 	             	                  	r                 	                      	r                   	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	  2	X	 1	  50.00	      7.4000	Raymo    	Benthic Foraminifers                         	               	                  	                       	                  	                      	                       	                     	           	                           	              	                 	             	                  	r                 	                      	r                   	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	  2	X	CC	  21.00	      8.4800	Raymo    	Benthic Foraminifers                         	               	                  	r                      	                  	                      	                       	r                    	r          	                           	              	                 	             	r                 	r                 	r                     	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	  3	X	 3	  50.00	     20.0000	Raymo    	Benthic Foraminifers                         	               	                  	                       	                  	                      	r                      	                     	           	                           	              	                 	             	r                 	r                 	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	  4	X	 2	  50.00	     27.5000	Raymo    	Benthic Foraminifers                         	               	                  	                       	                  	                      	r                      	r                    	           	                           	              	                 	             	                  	r                 	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	  5	X	 1	  50.00	     35.6000	Raymo    	Benthic Foraminifers                         	               	                  	                       	                  	                      	                       	                     	           	                           	              	                 	             	                  	r                 	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	  5	X	CC	  33.00	     36.1600	Raymo    	Benthic Foraminifers                         	               	                  	                       	                  	                      	r                      	r                    	           	                           	              	                 	             	                  	r                 	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 13	H	 2	  51.00	    114.1100	Raymo    	Benthic Foraminifers                         	               	                  	                       	                  	                      	                       	r                    	           	                           	              	                 	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 13	H	CC	   4.00	    117.2000	Raymo    	Benthic Foraminifers                         	               	                  	                       	                  	                      	                       	r                    	           	                           	              	                 	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

