Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unidentified benthic forams,Bolivinopsis spp.,Globobulimina spp.,Vulvulina spp.,Gaudryina spp.,Elphidium saginatum,Chilostomella oolina,Lenticulina spp.,Dentalina spp.,Bulimina spp.,Vaginulinopsis spp.,Ostracoda spp.,Reophax spp.,Guttulina spp.,Nonion deceptrix,Stilostomella spp.,Eggerelloides spp.,Astacolus spp.,Spirillina spp.,Pleurostomella spp.,Gyroidinoides spp.,Pyrulina spp.,Pullenia spp.,Cibicidoides spp.,Nodosaria spp.,Unilocular species,Anomalinoides spp.,Melonis barleeanus,Nuttallides umbonifera,Oridorsalis umbonatus,Parrelloides bradyi,Bulimina alazanensis,Bathysiphon spp.,Plectofrondicularia spp.,Pullenia bulloides,Buliminella spp.,Globocassidulina subglobosa,Uvigerina peregrina,Uvigerina hispida,Textularia spp.,Nonion spp.,Karreriella bradyi,Gyroidina zealandica,Cibicidoides mundulus,Cibicides lobatulus,Bulimina aculeata,Bolivina spp.,Laticarinina pauperata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  1,R,CC,  15.00,    250.2700,benthics ,Benthic Foraminifers                         ,C              ,M                 ,R                          ,T                ,                  ,              ,              ,                   ,                    ,R               ,T             ,             ,                   ,T             ,            ,              ,                ,R                 ,                  ,              ,               ,R                  ,R                 ,             ,R            ,R                ,T             ,T                 ,T                 ,                  ,                      ,R                    ,R                  ,                    ,                ,                        ,                  ,                ,R                          ,R                  ,                 ,T              ,           ,F                 ,                    ,T                    ,T                  ,                 ,             ,R                     ,B/P: 1/140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  2,R,CC,  17.00,    260.6800,benthics ,Benthic Foraminifers                         ,C              ,M                 ,R                          ,T                ,                  ,              ,              ,                   ,                    ,T               ,T             ,             ,                   ,R             ,            ,              ,                ,R                 ,                  ,              ,               ,T                  ,T                 ,T            ,             ,R                ,              ,                  ,                  ,                  ,                      ,R                    ,R                  ,                    ,                ,                        ,R                 ,                ,T                          ,T                  ,R                ,T              ,T          ,R                 ,R                   ,T                    ,T                  ,T                ,T            ,                      ,B/P: 1/150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  4,R,CC,  15.00,    280.5900,benthics ,Benthic Foraminifers                         ,R              ,P                 ,                           ,                 ,                  ,              ,              ,                   ,                    ,T               ,              ,             ,                   ,              ,            ,T             ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,R                ,              ,T                 ,T                 ,                  ,                      ,                     ,                   ,                    ,T               ,                        ,                  ,                ,T                          ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  7,R,CC,  15.00,    302.3000,benthics ,Benthic Foraminifers                         ,F              ,M                 ,R                          ,                 ,                  ,              ,              ,                   ,                    ,T               ,T             ,             ,                   ,T             ,            ,              ,R               ,R                 ,                  ,              ,               ,                   ,R                 ,             ,             ,R                ,              ,T                 ,                  ,R                 ,                      ,                     ,                   ,                    ,                ,                        ,R                 ,T               ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,tiny sample
