Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira spp.,Thalassiosira nativa,Thalassiosira minutissima,Thalassionema nitzschioides,Synedra jouseana,Simonseniella barboi,Rouxia californica,Rhizosolenia styliformis,Proboscia alata,Pinn* spp.,Paralia sulcata,Lithodesmium sp.,Hemidiscus cuneiformis,Freshwater diatoms,Denticulopsis hustedtii,Coscinodiscus sp.,Coscinodiscus marginatus,Chaetoceros spp. (resting spores),Actinoptychus senarius,Actinocyclus ellipticus,Thalassiosira antiqua,Nitzschia fossilis,Thalassiosira temperei,Thalassionema schraderi,Denticulopsis katayamae,Azpeitia nodulifera,Actinocyclus curvatulus,Lithodesmium californicum,Thalassiosira oestrupii,Stephanopyxis dimorpha,Neodenticula seminae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Quaternary       ,                  ,              ,146, 892,E,  1,X, 2,  38.00,      0.6900,Fourtanier,Diatoms                                      ,C              ,M                 ,R                        ,                  ,                    ,                         ,C                          ,                ,R                   ,                  ,                        ,               ,          ,R              ,                ,                      ,R                 ,                       ,F                ,F                       ,C                                ,                      ,                       ,                     ,                  ,                      ,                       ,                       ,                   ,                       ,                         ,R                      ,C                     ,C                   ,from Leg 146 SR; Ch 4; Table 4; p.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,E,  3,H, 3,  54.00,     35.7000,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,                  ,F                   ,                         ,A                          ,R               ,                    ,C                 ,R                       ,R              ,          ,               ,                ,                      ,                  ,F                      ,F                ,                        ,A                                ,F                     ,                       ,                     ,                  ,R                     ,R                      ,                       ,                   ,                       ,R                        ,                       ,                      ,                    ,from Leg 146 SR; Ch 4; Table 4; p.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,E,  3,H, 4,  47.00,     37.1100,Fourtanier,Diatoms                                      ,A              ,G                 ,A                        ,                  ,F                   ,                         ,A                          ,F               ,R                   ,C                 ,                        ,               ,          ,R              ,                ,                      ,                  ,F                      ,R                ,R                       ,A                                ,R                     ,                       ,                     ,                  ,R                     ,F                      ,F                      ,R                  ,R                      ,                         ,                       ,                      ,                    ,from Leg 146 SR; Ch 4; Table 4; p.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,Quaternary       ,                  ,              ,146, 892,E,  3,H, 6,  20.00,     39.8300,Fourtanier,Diatoms                                      ,C              ,P                 ,R                        ,                  ,                    ,                         ,F                          ,                ,                    ,                  ,                        ,               ,          ,F              ,                ,                      ,                  ,                       ,                 ,C                       ,F                                ,                      ,                       ,R                    ,R                 ,                      ,                       ,                       ,                   ,                       ,                         ,                       ,                      ,                    ,from Leg 146 SR; Ch 4; Table 4; p.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,E,  4,H, 1, 104.00,     43.5400,Fourtanier,Diatoms                                      ,A              ,M/G               ,R                        ,F                 ,F                   ,R                        ,A                          ,F               ,R                   ,F                 ,R                       ,R              ,F         ,R              ,R               ,R                     ,R                 ,R                      ,F                ,F                       ,A                                ,F                     ,R                      ,                     ,                  ,                      ,                       ,                       ,                   ,                       ,                         ,                       ,                      ,                    ,from Leg 146 SR; Ch 4; Table 4; p.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
