Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Stylatractus universus,Stichocorys wolffii,Stichocorys peregrina,Spongotrochus glacialis,Spongodiscus osculosus,Actinomma popofskii,Stylacontarium acquilonium,Sphaeropyle langii,Pterocorys clausus,Pterocanium grandiporus,Pterocanium auritum,Pseudodictyophimus gracilipes,Lipmanella acanthica,Dictyophimus crisiae,Cycladophora davisiana,Cycladophora bicornis amphora,Ceratospyris borealis,Botryostrobus bramlettei tumidulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,E,  1,X, 2,  38.00,      0.6900,Caulet   ,Radiolarians                                 ,C              ,G                 ,                      ,T                     ,                   ,                     ,C                      ,F                     ,T                  ,R                         ,R                 ,R                 ,R                      ,R                  ,R                            ,T                   ,T                   ,A                     ,A                            ,C                    ,R                                 ,From Leg 146; Ch 3; Table 4; p. 54-55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,E,  3,H, 3,  54.00,     35.7000,Caulet   ,Radiolarians                                 ,VR             ,M                 ,                      ,                      ,T                  ,R                    ,T                      ,R                     ,T                  ,                          ,                  ,                  ,                       ,                   ,                             ,                    ,                    ,                      ,                             ,                     ,                                  ,From Leg 146; Ch 3; Table 4; p. 54-55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,E,  4,H, 1, 104.00,     43.5400,Caulet   ,Radiolarians                                 ,NM             ,                  ,R                     ,T                     ,R                  ,R                    ,                       ,                      ,                   ,                          ,                  ,                  ,                       ,                   ,                             ,                    ,                    ,                      ,                             ,                     ,                                  ,From Leg 146; Ch 3; Table 4; p. 54-55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
