Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina auberiana	Stilostomella lepidula (smooth)	Stilostomella lepidula	Stilostomella insecta	Sphaeroidina bulloides	Sigmoilopsis schlumbergeri	Pyrgo murrhina	Pullenia quadriloba	Pullenia bulloides	Pleurostomella sp.	Pleurostomella alternans	Osangularia bengalensis	Orthomorphina koina	Oridorsalis umbonatus (smooth margin)	Melonis affinis	Martinottiella variabilis	Laticarinina pauperata	Lagenid taxa	Karreriella bradyi	Hopkinsina mioindex	Gyroidinoides neosoldanii	Globocassidulina subglobosa (small form)	Globocassidulina subglobosa (medium size)	Globocassidulina subglobosa (large form)	Ehrenbergina hystrix	Cibicidoides sp. (turbinate)	Cibicidoides bradyi	Cibicides wuellerstorfi (atypical)	Cibicides wuellerstorfi	Chrysalogonium equisetiformis	Bulimina alazanensis	Bolivinita quadrilatera	Bolivina striatocola	Bolivina pseudoplicata	Anomalinoides semicribratus	Stilostomella subspinosa	Siphotextularia catenata	Rectuvigerina spinea	Pullenia quinqueloba	Orthomorphina perversa	Nuttallides umbonifera	Gyroidinoides planulatus	Dentalina communis	Anomalinoides globulosus	Uvigerina proboscidea	Miliolid taxa	Melonis pacificus	Cassidulinoides bradyi	Gyroidinoides altispirus	Cibicidoides kullenbergi	Siphonodosaria modesta	Discanomalina semipunctata (atypical)	Cibicidoides kullenbergi (flat)	Bulimina mexicana	Eggerella bradyi	Allomorphina sp.	Favocassidulina favus	Textularia cf. T. flintii	Oridorsalis umbonatus  (scallopped margin)	Pleurostomella brevis	Triloculina lucernula	Ehrenbergina trigona	Textularia sp.	Melonis pompilioides	Bulava sp.	Bolivina villaverniensis	Martinottiella communis	Buliminella sp.	Haplophragmoides sp.	Rotalia translucens	Lenticulina sp.	Discorbis villardeboanus	Heterolepa dohmi	Epistominella exigua	Uvigerina interruptacostata	Cibicidoides sp.	Comment



  SR	Pleistocene      	                 	                  	              	115	 713	A	  1	R	CC	   0.00	      1.5300	Boersma  	Benthic Foraminifers                         	               	VG                	R                  	                               	                      	                     	                      	                          	T             	                   	+                 	                  	                        	                       	                   	+                                    	               	                         	                      	            	                  	                   	                         	                                        	                                         	F                                       	                    	                            	                   	                                  	+                      	                             	+                   	                       	                    	                      	                           	                        	                        	                    	                    	                      	                      	+                       	                  	                        	                     	             	                 	                      	                        	                        	                      	                                     	                               	                 	                	                	F                    	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	+                          	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Pleistocene      	                 	                  	              	115	 713	A	  2	R	 1	 120.00	      2.8000	Boersma  	Benthic Foraminifers                         	               	G                 	R                  	                               	                      	                     	                      	                          	              	                   	T                 	                  	                        	+                      	                   	                                     	               	                         	                      	            	                  	                   	                         	R                                       	+                                        	                                        	                    	                            	+                  	+                                 	+                      	                             	                    	                       	                    	                      	+                          	                        	                        	                    	                    	                      	                      	T                       	                  	                        	                     	             	                 	                      	                        	                        	                      	                                     	                               	                 	                	                	                     	T                        	                                          	                     	                     	                    	              	+                   	          	                        	                       	               	                    	                   	+              	                        	                	                    	+                          	+               	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Pleistocene      	                 	                  	              	115	 713	A	  2	R	 2	  75.00	      3.8500	Boersma  	Benthic Foraminifers                         	               	G                 	R                  	                               	+                     	                     	                      	                          	              	                   	                  	+                 	                        	                       	                   	                                     	+              	                         	+                     	T           	                  	                   	+                        	+                                       	T                                        	                                        	                    	                            	                   	                                  	                       	                             	                    	                       	                    	                      	                           	                        	                        	                    	                    	                      	+                     	                        	                  	                        	+                    	             	                 	                      	                        	                        	                      	                                     	                               	                 	+               	                	                     	+                        	                                          	                     	                     	+                   	              	+                   	          	                        	                       	               	                    	                   	               	                        	                	                    	+                          	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Pliocene         	                 	                  	              	115	 713	A	  2	R	 3	 120.00	      5.8000	Boersma  	Benthic Foraminifers                         	               	VG                	                   	                               	+                     	                     	                      	                          	+             	                   	                  	                  	+                       	                       	                   	                                     	               	                         	+                     	T           	                  	                   	                         	+                                       	+                                        	                                        	                    	                            	                   	                                  	                       	                             	                    	                       	                    	                      	                           	                        	                        	                    	                    	                      	+                     	+                       	                  	                        	R                    	+            	                 	                      	                        	                        	                      	                                     	                               	                 	                	                	T                    	+                        	                                          	                     	+                    	+                   	              	                    	          	                        	                       	               	                    	                   	               	                        	                	+                   	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.
