Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tritaxa spp.	Pleurostomella spp.	Oridorsalis umbonatus	Nuttallides truempyi	Marssonella trochoides	Lenticulina spp.	Gaudryina pyramidata	Dentalina spp.	Aragonia velascoensis	Spiroplectammina jarvisi	Sliterella lobulata	Pyramidina szajnochae	Pullenia jarvisi	Nuttallides intermediatus	Nodosaria spp.	Gyroidinoides globosa	Conorbinoides hillebrandti	Buliminella grata	Bulimina spp.	Aragonia ouezzanensis	Stilostomella spp.	Spiroplectammina spectabilis	Pseudoclavulina globulifera	Nonion spp.	Gavelinella beccariiformis	Bulimina velascoensis	Stilostomella gracillima	Clinapertina complanata	Chrysalogonium breviloculum	Bulimina jarvisi	Aragonia aragonensis	Cibicidoides subspiratus	Cibicidoides havanensis	Bulimina semicostata	Vulvulina spinosa	Stilostomella abyssorum	Pullenia eocaenica	Globocassidulina subglobosa	Cibicidoides eocaenus	Chrysalogonium longicostatum	Bulimina trinitatensis	Bulimina impendens	Quadratobuliminella pyramidalis	Osangularia velascoensis	Oridorsalis tenera	Oridorsalis tener	Gyroidinoides neosoldanii	Bulimina elongata	Bolivina huneri	Stilostomella subspinosa	Orthomorphina spp.	Gyroidinoides girardanus	Cibicidoides spp.	Cibicidoides bradyi	Alabamina dissonata	Stilostomella aculeata	Karreriella bradyi	Anomalinoides spp.	Pyrgo murrhina	Pyrgo lucernula	Pullenia bulloides	Anomalinoides globulosus	Pullenia quinqueloba	Martinottiella sp.	Haplophragmoides spp.	Cibicidoides wuellerstorfi	Cibicidoides subhaidingeri	Anomalinoides semicribratus	Uvigerina hispidocostata	Uvigerina hispida	Parafissurina spp.	Eggerella bradyi	Uvigerina spp.	Uvigerina senticosa	Uvigerina peregrina	Sphaeroidina bulloides	Cibicidoides mundulus	Comment



  IR	                 	                 	                  	              	198	1211	A	  1	H	CC	  17.00	      2.8000	benthics 	Benthic Foraminifers                         	C              	VG                	            	                   	                     	                    	                      	                	                    	T             	                     	                        	                   	                     	                	                         	              	                     	                          	                 	             	                     	                  	                            	                           	           	                          	                     	                        	                       	                           	                	                    	                        	                       	                    	                 	                       	                  	                           	                     	                            	                      	                  	                               	                        	+                 	R                	F                        	                 	               	                        	                  	                        	                 	                   	                   	                      	                  	                  	F             	T              	                  	T                       	                    	                  	R                    	R                         	R                         	+                          	F                       	F                	                  	R               	R             	R                  	R                  	T                     	R                    	       

  IR	                 	                 	                  	              	198	1211	A	  3	H	CC	  21.00	     21.9200	benthics 	Benthic Foraminifers                         	F              	G                 	            	T                  	                     	                    	                      	                	                    	              	                     	                        	                   	                     	                	                         	              	                     	                          	                 	             	                     	T                 	                            	                           	T          	                          	                     	R                       	                       	                           	                	                    	                        	                       	                    	                 	                       	                  	                           	                     	                            	                      	                  	                               	                        	F                 	F                	                         	                 	               	                        	                  	                        	                 	T                  	                   	                      	                  	                  	R             	T              	                  	                        	T                   	                  	                     	C                         	                          	                           	F                       	R                	T                 	R               	              	                   	                   	                      	                     	       

  IR	                 	                 	                  	              	198	1211	A	  5	H	CC	  32.00	     41.3300	benthics 	Benthic Foraminifers                         	F              	G                 	            	                   	                     	                    	                      	                	                    	R             	                     	                        	                   	                     	                	                         	              	                     	                          	                 	             	                     	                  	                            	                           	           	                          	                     	                        	                       	                           	                	                    	                        	                       	                    	                 	T                      	                  	                           	                     	R                           	                      	                  	                               	                        	+                 	R                	                         	                 	               	                        	                  	                        	R                	T                  	                   	                      	T                 	                  	F             	R              	                  	R                       	T                   	F                 	F                    	R                         	R                         	+                          	                        	                 	                  	                	              	                   	                   	                      	                     	       

  IR	                 	                 	                  	              	198	1211	A	  6	H	CC	  18.00	     50.5700	benthics 	Benthic Foraminifers                         	F              	M                 	            	T                  	                     	                    	                      	                	                    	T             	                     	                        	                   	                     	                	                         	              	                     	                          	                 	             	                     	R                 	                            	                           	           	                          	                     	                        	                       	                           	                	                    	                        	                       	                    	                 	                       	                  	                           	                     	                            	                      	                  	                               	                        	                  	R                	                         	                 	               	C                       	                  	R                       	                 	                   	                   	                      	                  	                  	R             	T              	T                 	R                       	                    	                  	                     	                          	                          	                           	                        	                 	                  	                	              	                   	                   	                      	                     	       
