Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,planktonics miscellaneous,Orbulina universa,Neogloboquadrina pachyderma,Neogloboquadrina cf. pachyderma,Globorotalia inflata,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinoides immaturus,Globigerinella cf. pseudobesa,Globigerina quinqueloba,Globigerina cf. quinqueloba,Globigerina bulloides,Globigerina cf. bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,D,  4,R,CC,   0.00,     28.3000,Olson    ,Planktonic Foraminifers                      ,T              ,M                 ,2                        ,                 ,                           ,                               ,                    ,                          ,                     ,                         ,                             ,                       ,                           ,                     ,                         ,P/B=NA Benthics=T-R Qtz=A Mica=C Glauconite=T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,D,  5,R,CC,   0.00,     38.3000,Olson    ,Planktonic Foraminifers                      ,T              ,G                 ,                         ,1                ,1                          ,                               ,                    ,                          ,                     ,                         ,                             ,                       ,                           ,                     ,                         ,P/B= Benthics=F Qtz=A Glauconite=R Pyrite=R-F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,D,  7,R,CC,   0.00,     57.8300,Olson    ,Planktonic Foraminifers                      ,R              ,P                 ,13                       ,                 ,                           ,                               ,                    ,                          ,                     ,                         ,                             ,                       ,                           ,                     ,1                        ,P/B=5% Benthics=C Qtz=A Mica=C Almost all planktonics show signs of dissolution
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,D,  8,R,CC,   0.00,     63.2600,Olson    ,Planktonic Foraminifers                      ,               ,                  ,10                       ,1                ,4                          ,1                              ,4                   ,1                         ,4                    ,3                        ,3                            ,13                     ,3                          ,1                    ,                         ,P/B=5% benthics=C quartz=A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
