Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,polymorhinids xxx,Quinqueloculina seminulum,Pyrgo spp.,Nonionella miocenica,Globobulimina auriculata,Fursenkoina fusiformis,Elphidium excavatum f. clavatum,Cassidulina teretis,Cancris communis,Bulimina aculeata,Buccella frigida,Bolivina subaenariensis,Elphidium excavatum (Terquem) forma lidoensis,Cibicidoides spp.,Triloculina trigonula,Islandiella islandica,Elphidium articulatum,Cassidulina norcrossi,Bulimina marginata,Rosalina spp.,Nonionella labradorica,Lenticulina spp.,Astacolus sp.,Marginulina spp.,Globocassidulina subglobosa,Cibicidoides pachyderma,Cibicidoides crebbsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,D,  1,R,CC,   0.00,      0.6200,Katz     ,Benthic Foraminifers                         ,R              ,VG                ,                 ,                         ,          ,                    ,                        ,                      ,                               ,                   ,                ,                 ,                ,                       ,+                                            ,                 ,                     ,                     ,                     ,                     ,                  ,             ,                      ,                ,             ,                ,                           ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,D,  2,R,CC,   0.00,      9.1000,Katz     ,Benthic Foraminifers                         ,F              ,VG                ,                 ,+                        ,          ,                    ,+                       ,                      ,+                              ,+                  ,                ,                 ,                ,                       ,C                                            ,+                ,                     ,                     ,                     ,                     ,R                 ,             ,                      ,+               ,+            ,+               ,+                          ,+                      ,+                   ,"shells, qtz, mica, R glauconite"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,D,  3,R,CC,   0.00,     18.8000,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                 ,R                        ,          ,                    ,                        ,                      ,A                              ,                   ,                ,                 ,                ,                       ,                                             ,                 ,                     ,                     ,                     ,                     ,                  ,             ,                      ,                ,             ,                ,                           ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,D,  4,R,CC,   0.00,     28.3000,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                 ,R                        ,          ,                    ,                        ,                      ,C                              ,                   ,                ,                 ,                ,                       ,C                                            ,R                ,                     ,                     ,C                    ,                     ,F                 ,R            ,R                     ,R               ,R            ,                ,                           ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,D,  5,R,CC,   0.00,     38.3000,Katz     ,Benthic Foraminifers                         ,A              ,VG                ,                 ,R                        ,          ,C                   ,R                       ,                      ,A                              ,C                  ,                ,F                ,                ,                       ,A                                            ,                 ,R                    ,R                    ,C                    ,C                    ,R                 ,             ,                      ,                ,             ,                ,                           ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,D,  6,R,CC,   0.00,     48.7700,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                 ,R                        ,R         ,R                   ,                        ,                      ,A                              ,                   ,                ,                 ,                ,                       ,C                                            ,                 ,                     ,                     ,                     ,                     ,                  ,             ,                      ,                ,             ,                ,                           ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,D,  7,R,CC,   0.00,     57.8300,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                 ,                         ,R         ,R                   ,                        ,                      ,F                              ,                   ,                ,                 ,                ,                       ,A                                            ,R                ,                     ,                     ,                     ,                     ,                  ,             ,                      ,                ,             ,                ,                           ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1071,D,  8,R,CC,   0.00,     63.2600,Katz     ,Benthic Foraminifers                         ,A              ,VG                ,R                ,A                        ,R         ,A                   ,A                       ,F                     ,C                              ,F                  ,R               ,C                ,R               ,C                      ,                                             ,                 ,                     ,                     ,                     ,                     ,                  ,             ,                      ,                ,             ,                ,                           ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
