Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Globigerinoides sacculifer,Globorotalia sp.,Globigerinoides trilobus,Pulleniatina sp.,Globorotalia tumida ?plesiotumida,Globorotalia limbata,Globigerinoides quadrilobatus,Globigerinoides obliquus extremus,Globigerina bulloides,Turborotalita humilis,Tenuitella iota,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis paenedehiscens,Pulleniatina primalis,Pulleniatina praecursor,Orbulina universa bilobata,Neogloboquadrina pseudopima,Neogloboquadrina acostaensis,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia multicamerata,Globorotalia miotumida conoidea,Globorotalia menardii,Globorotalia margaritae,Globorotalia cultrata,Globoquadrina dehiscens,Globigerinoides ruber (white),Globigerinoides obliquus obliquus,Globigerinoides conglobatus,Globigerinita naparimaensis,Globigerinita glutinata,Globigerinella praecalida,Globigerinella aequilateralis,Globigerina quinqueloba,Globigerina falconensis,Globigerina decoraperta,Dentoglobigerina altispira altispira,Tenuitella clemenciae,Sphaeroidinellopsis kochi,Neogloboquadrina humerosa,Globigerina bulbosa,Globigerina angustiumbilicata,Dentoglobigerina altispira globosa,Candeina nitida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,133, 816,A,  9,H, 7,  65.00,     81.6500,Chaproniere,Planktonic Foraminifers                      ,               ,                  ,+                ,+                         ,                ,+                       ,                ,                                 ,+                   ,+                            ,+                                ,+                    ,+                    ,               ,                              ,+                                 ,+                    ,+                      ,                          ,                           ,+                           ,                            ,+                  ,                          ,                               ,+                    ,+                      ,+                    ,                       ,+                            ,+                                ,+                          ,+                          ,+                      ,+                        ,+                            ,+                      ,+                      ,+                      ,+                                   ,                     ,                         ,+                        ,                   ,                             ,                                  ,+              ,from ODP 133 SR Chapter 3 Table 2 p 43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,133, 816,A, 10,H, 6,  70.00,     89.7000,Chaproniere,Planktonic Foraminifers                      ,               ,                  ,+                ,+                         ,                ,+                       ,                ,                                 ,+                   ,+                            ,+                                ,+                    ,+                    ,+              ,                              ,+                                 ,+                    ,+                      ,+                         ,+                          ,+                           ,+                           ,+                  ,+                         ,+                              ,+                    ,+                      ,+                    ,                       ,                             ,+                                ,+                          ,+                          ,+                      ,+                        ,+                            ,+                      ,+                      ,+                      ,+                                   ,?                    ,+                        ,+                        ,?                  ,+                            ,+                                 ,               ,from ODP 133 SR Chapter 3 Table 2 p 43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,133, 816,A, 10,H, 7,  20.00,     90.7000,Chaproniere,Planktonic Foraminifers                      ,               ,                  ,+                ,+                         ,                ,+                       ,                ,                                 ,+                   ,+                            ,+                                ,+                    ,+                    ,+              ,+                             ,+                                 ,+                    ,+                      ,+                         ,+                          ,+                           ,+                           ,+                  ,+                         ,+                              ,+                    ,+                      ,+                    ,+                      ,+                            ,+                                ,+                          ,+                          ,+                      ,+                        ,+                            ,+                      ,+                      ,+                      ,+                                   ,                     ,                         ,                         ,                   ,                             ,                                  ,               ,from ODP 133 SR Chapter 3 Table 2 p 43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,133, 816,A, 11,H, 1,  70.00,     91.7000,Chaproniere,Planktonic Foraminifers                      ,               ,                  ,                 ,                          ,                ,+                       ,+               ,+                                ,+                   ,+                            ,+                                ,+                    ,                     ,               ,                              ,                                  ,                     ,                       ,                          ,                           ,                            ,                            ,                   ,                          ,                               ,                     ,                       ,                     ,                       ,                             ,                                 ,                           ,                           ,                       ,                         ,                             ,                       ,                       ,                       ,                                    ,                     ,                         ,                         ,                   ,                             ,                                  ,               ,from ODP 133 SR Chapter 3 Table 2 p 43
