Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra umbilica,Reticulofenestra samodurovii,Chiasmolithus solitus,Blackites spinosus,Cyclicargolithus floridanus,Coccolithus pelagicus,Neococcolithes dubius,Zygrhablithus bijugatus,Reticulofenestra reticulata,Reticulofenestra daviesii,Pontosphaera multipora,Markalius inversus,Chiasmolithus altus,Braarudosphaera bigelowii,Reticulofenestra hillae,Reticulofenestra bisecta,Isthmolithus recurvus,Discoaster tanii,Discoaster saipanensis,Coccolithus formosus,Clausicoccus fenestratus,Chiasmolithus oamaruensis,Sphenolithus moriformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,CP15              ,              ,152, 915,A, 14,R, 1,  33.00,    112.3300,Wei      ,Nannofossils                                 ,A              ,M                 ,R                        ,                            ,                     ,                  ,                           ,F                    ,                     ,                       ,R                          ,C                        ,R                     ,                  ,R                  ,                         ,R                      ,R                       ,R                    ,                ,                      ,                    ,                        ,                         ,                       ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,CP15              ,              ,152, 915,A, 15,R, 1,   6.00,    121.2600,Wei      ,Nannofossils                                 ,A              ,M                 ,R                        ,R                           ,                     ,                  ,                           ,R                    ,R                    ,R                      ,F                          ,C                        ,                      ,R                 ,F                  ,                         ,R                      ,F                       ,R                    ,                ,R                     ,R                   ,                        ,R                        ,R                      ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,CP15              ,              ,152, 915,A, 16,R, 1,  58.00,    130.8800,Wei      ,Nannofossils                                 ,A              ,M                 ,R                        ,R                           ,                     ,                  ,R                          ,C                    ,R                    ,R                      ,C                          ,C                        ,R                     ,                  ,R                  ,R                        ,R                      ,F                       ,R                    ,                ,                      ,                    ,                        ,R                        ,R                      ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,CP15              ,              ,152, 915,A, 16,R,CC,  12.00,    131.7100,Wei      ,Nannofossils                                 ,A              ,M                 ,F                        ,F                           ,                     ,R                 ,                           ,C                    ,                     ,R                      ,C                          ,A                        ,R                     ,                  ,R                  ,R                        ,R                      ,F                       ,R                    ,R               ,R                     ,R                   ,R                       ,R                        ,                       ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
