Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongasteriscus marylandicus,Lychnocanoma elongata,Artophormis gracilis,Eucyrtidium diaphanes,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Calocycletta robusta,Calocycletta serrata,Stichocorys wolffii,Phormostichoartus corbula,Stichocorys delmontensis,Dorcadospyris ateuchus,Didymocyrtis violina,Didymocyrtis mammifera,Cyrtocapsella japonica,Calocycletta virginis,Didymocyrtis prismatica,Calocycletta costata,Didymocyrtis tubaria,Dorcadospyris dentata,Calocycletta caepa,Didymocyrtis laticonus,Didymocyrtis antepenultima,Diartus petterssoni,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 903,D,  3,R, 3,  60.00,    797.8000,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,                     ,+                      ,                     ,                    ,                    ,                   ,                         ,                        ,                      ,                    ,                      ,                      ,                     ,                       ,                    ,                    ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 903,D,  4,R, 3,  58.00,    807.3800,Nigrini  ,Radiolarians                                 ,F              ,M                 ,                            ,                     ,                    ,                     ,+                      ,+                    ,                    ,                    ,                   ,+                        ,                        ,                      ,                    ,                      ,                      ,                     ,                       ,                    ,                    ,                     ,                  ,+                     ,                          ,+                  ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,150, 903,D,  5,R, 3,  60.00,    815.9100,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,                     ,                       ,                     ,                    ,                    ,?                  ,+                        ,                        ,                      ,                    ,                      ,                      ,                     ,                       ,                    ,                    ,                     ,                  ,+                     ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,150, 903,D,  6,R, 3,  61.00,    826.7100,Nigrini  ,Radiolarians                                 ,C              ,M                 ,                            ,                     ,                    ,                     ,+                      ,+                    ,                    ,                    ,                   ,                         ,                        ,                      ,                    ,                      ,                      ,                     ,                       ,                    ,                    ,                     ,+                 ,+                     ,T                         ,-                  ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
