category,normalized,lithology_1-96,lithology_101-126,lithology_317-present,taxa_1-96,taxa_101-210,taxa_317-present-b,taxa_317-present,age_models_1-96,age_models_101-190,hard_rocks_2-94
common,Sample,,,Label ID | Sample,,,,Label ID | Sample,,,
,Expedition,leg,leg,Exp,leg,Leg,Exp | Expedition,Exp,leg,Leg,leg
,Site,site,site,Site,site,Site,Site,Site,site,Site,site
,Hole,hole,hole,Hole,hole,H,Hole,Hole,hole,H,hole
,Core,core,core,Core,core,Cor,Core,Core,,,core
,Core Type,,code,Type,,T,Core Type | Core type | Type,Type,,,
,Section,section,section,Section,section,Sc,section | Section,Section,,,section
,A/W,,,A/W,,,,A/W,,,
,Extra Sample ID Data,,,Extra Sample ID Data,,,,Extra Sample ID Data,,,
,Top [cm],top interval depth (cm),top interval,Top [cm] | Top offset [cm] | Top[cm] [cm],top interval depth(cm),Top(cm),,Top [cm] | Top offset [cm] | Top[cm] [cm],,,
,Bottom [cm],bottom interval depth (cm),bottom interval,Bottom [cm] | Bottom offset [cm] | Bottom[cm] [cm],bottom interval depth (cm),,,Bottom [cm] | Bottom offset [cm] | Bottom[cm] [cm],,,
,Top Depth [m],top of layer depth (m),top interval depth below sea floor,Top Depth [m] | Top Depth[m] [m] | Top depth [m],,,,Top Depth [m] | Top Depth[m] [m] | Top depth [m],,,
,Bottom Depth [m],bottom of layer depth (m),bottom interval depth below sea floor,Bottom Depth [m] | Bottom Depth[m] [m] | Bottom depth [m],,,,Bottom Depth [m] | Bottom Depth[m] [m] | Bottom depth [m],,,
,,,,,,,,,,,
lithology,Lithology Prefix,,,Lithology 1 prefix | Lithology PREFIX | Lithology Prefix | Lithology prefix | MAJ Lith. Prefix | MAJ Lith. prefix | MAJ Lithology prefix A | Major  prefix modifier before principal | Major ModifierPrefixModifier Before Principal | Major modifier before principal | Major prefix modifier before principal | PREFIX | Prefix, ,,,,,,
,Lithology Principal Name,lithology,lithology,LITHOLOGY | Lithology | Lithology 1 principal name | Lithology Principal name | Lithology principal name | MAJ Lith. Principal name | MAJ Lith. principal name | MAJ Principal lithology B | PRINCIPAL Lithology | PRINCIPALLITHOLOGY | Principal  lithology | Principal Lithology | Principal lithology | Principal lithology name | PrincipalLithology Name, ,,,,,,
,Lithology Suffix,,,Lithology 1 suffix | Lithology SUFFIX | Lithology Suffix | Lithology suffix | MAJ Lith. Suffix | MAJ Lith. suffix | MAJ Lithology suffix C | SUFFIX | Suffix, ,,,,,,
,Minor Lithology Prefix,,,Lithology 2 prefix  | MIN Lith. Prefix  | MIN Lith. prefix, ,,,,,,
,Minor Lithology Name,,,Lithology 2 principal name | MIN Lith. Principal name | MIN Lith. principal name, ,,,,,,
,Minor Lithology Suffix,,,Lithology 2 suffix | MIN Lith. Suffix | MIN Lith. suffix | Minor ModifierSuffixModifier After Principal | Minor modifier after principal | Minor suffix modifier after principal, ,,,,,,
,Color,color,color,,,,,,,,
,,,,,,,,,,,
taxa,Taxon Name,,,,fossil,(taxon names are in the header),,(taxon names are in the header),,,
,Group Abundance,,,,group abundance,Group Abundance,Group Abundance | Group abundance | Abundance | Abundance | Abundance (%) | Abundances,Abundance | Group Abundance | Group abundance | Group abundance (%),,,
,Group Preservation,,,,,Group Preservation,Preservation | Presevation,Group preservation,,,
,Comment,,,,,,COMMENTS | Comments,Comment | Comments | COMMENTS | comments | Comment (general) | General comment | Sample comment | BF comment | Nannofossil comment,,,
,planktic foraminifera group abundance,,,,,,Planktic foraminiferal % | Planktic foraminiferal (%) | Foraminiferal abundance,PF Group Abundance | PF group abundance | % Planktic Foraminifera within whole sample | Percentage of planktic forams in total foram assemblage [%] | Foram abundance | Planktic foraminiferal % | Planktic foraminiferal (%),,,
,benthic foraminifera group abundance,,,,,,Benthic abundance,Percentage of benthic forams in total foram assemblage [%] | BF Group abundance,,,
,diatom group abundance,,,,,,,Diatom abundance | Diatoms group abundance,,,
,Silicoflagellate group abundance,,,,,,,Silicoflagellates group abundance | Sillicoflagellate abundance,,,
,benthic foraminifer preservation,,,,,,,BF Preservation | BF preservation,,,
,diatom preservation,,,,,,,Diatom preservation dissolution | Diatom preservation fragmentation,,,
,planktic foraminifer preservation,,,,,,Foraminferal preservation | Foraminiferal preservation,PF preservation | PF Preservation,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Fraass Harmonizing,Core Description Scientist,describer,observer,,,,,,,,
,Core Description Paleo Comments,paleontology,,,,,,,,,
,Core Description Comments,other obesrvations,other,COMMENT | COMMENTS | Comment | General comment | General interval comment | MAJ lithology comment,,,,,,,
,Drilling Deformation,deformations due to drilling,drilling deformities,Drilling disturbance type,,,,,,,
,Drilling Deformation intensity,,,Drilling disturbance intensity | Drilling disturbance intensity rank | Drilling disturbance intensity rank (read only),,,,,,,
,Induration,hardness or induration,induration,,,,,,,,
,Structures,structures,structures,,,,,,,,
,unusual occurrences,unusual occurrences,unusual occurrences,,,,,,,,
,Numeric Color Value,,color number,,,,,,,,
,Minerals,minerals,minerals,LITH 1 lithification | LITHIFICATION | Lithification | Lithification [name] | Lithification rank [read only] | Lithology lithification,,,,,,,
,Bioturbation intensity,,,Bioturbation intensity | Bioturbation intensity rank | Bioturbation intensity rank (read only) | LITH 1 Bioturbation intensity | LITH 1 Bioturbation intensity rank [read only],,,,,,,
,Bioturbation type,,,Bioturbation type,,,,,,,
,Color (text),,,COLOR | Color | Color (name) | Color(name) | Lithology color | Lithology color (Munsell) | Lithology color (simple) | LITH 1 color | MAJ Lithology color | MAJ lith color (simple),,,,,,,
,Color (code),,,Color code,,,,,,,
,Color (secondary,,,?LITH 2 color | MIN Lith. color,,,,,,,
,Macrofossil,,,Macrofossil,,,,,,,
,Macrofossil abundance name,,,Macrofossil abundance name,,,,,,,
,Micropal Scientists,,,,investigators name,Scientist,,,,,
,Page Number Reference,,,,page number reference,Comment,,,,,
,Publication date (month/year),,,,publication date (month/year),Comment,,,,,
,Preservation Comments,,,,mechanical preservations,,,Aspect comment (etching),,,
,Chemical Dissolution Rank,,,,chemical dissolution,,,,,,
,Chemical Overgrowth Rank,,,,chemical overgrowth,,,,,,
,?,,,,fossil abundance,,,,,,
,?,,,,fossil code,,,,,,
,?,,,,fossil group,,,,,,
,?,,,,fossil preservation,,,,,,
,Total number of observed fossils,,,,total number of observed fossils,Comment,,,,,
,Sample depth (mbsf),,,,,Depth (mbsf),,,,,
,Sample Age,,,,age,,,Age,,,
,Sample Age (oldest),,,,,Age From (oldest),,,,,
,Sample Age (youngest),,,,,Age To (youngest),,,,,
,Sample Zone (bottom),,,,,Zone From (bottom),,,,,
,Sample Zone (top),,,,,Zone To  (top),,,,,
,Sample Zone,,,,,,,Additional zone name,,,
,Sample Zone (short),,,,,,,Additional zone name (short),,,
"Age needs to be distinguished, since these are for the age model",Age Control Point Age (Ma),,,,,,,,age,Age (Ma),
,Source,,,,,Comment; Data,,,data source,Age Model Type,
,Age Control Point Identity,,,,,,,,,Control Point Comment,
"Depth needs to be distinguished, since this is for the age models",Age Control Point Depth (mbsf),,,,,,,,,Depth (mbsf),
