Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Whiteinella baltica,Ticinella roberti,Ticinella primula,Ticinella madecassiana,Heterohelix moremani,Hedbergella planispira,Hedbergella delrioensis,Clavihedbergella simplex,Biticinella breggiensis,Ticinella raynaudi,Globigerinelloides bentonensis,Clavihedbergella subcretacea,Costellagerina libyca,Guembelitria cenomana,Globigerinelloides caseyi,Rotalipora cushmani,Whiteinella archaeocretacea,Rotalipora appenninica,Rotalipora brotzeni,Whiteinella inornata,Heterohelix globulosa,Pseudoguembelina costulata,Globigerinelloides prairiehillensis,Heterohelix reussi,Globotruncanella petaloidea,Globotruncanella havanensis,Rugoglobigerina rugosa,Heterohelix striata,Globotruncanita stuartiformis,Globotruncana bulloides,Globotruncana aegyptiaca,Rugotruncana subcircumnodifer,Gansserina gansseri,Contusotruncana fornicata,Rugoglobigerina hexacamerata,Globotruncana arca,Contusotruncana plummerae,Pseudotextularia elegans,Pseudotextularia deformis,Globotruncana linneiana,Globotruncanita stuarti,Globotruncanita conica,Abathomphalus mayaroensis,Subbotina triangularis,Morozovella velascoensis,Morozovella conicotruncata,Morozovella angulata,Morozovella aequa,Igorina pusilla,Igorina albeari,Subbotina velascoensis,Globanomalina pseudomenardii,Chiloguembelina wilcoxensis,Acarinina soldadoensis,Acarinina coalingensis,Morozovella acuta,Globanomalina planoconica,Acarinina wilcoxensis,Subbotina patagonica,Pseudohastigerina naguewichiensis,Morozovella subbotinae,Morozovella occlusa,Morozovella gracilis,Morozovella edgari,Igorina tadjikistanensis,Morozovella marginodentata,Acarinina quetra,Igorina broedermanni,Turborotalia praecentralis,Pseudohastigerina micra,Morozovella lensiformis,Morozovella formosa,Morozovella aragonensis,Subbotina inaequispira,Planorotalites pseudoscitulus,Planorotalites palmerae,Guembelitrioides higginsi,Globigerina lozanoi,Acarinina pentacamerata,Acarinina aspensis,Turborotalia griffinae,Muricoglobigerina senni,Acarinina pseudotopilensis,Acarinina bullbrooki,Morozovella spinulosa,Acarinina praetopilensis,Chiloguembelina cubensis,Globorotaloides suteri,Globigerina pseudovenezuelana,Dentoglobigerina galavisi,Catapsydrax unicavus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B,  1,R,CC,  18.00,      7.6500,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,P                      ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,P                       ,P                     ,P                            ,P                        ,P                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B,  2,R,CC,   7.00,     18.1600,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,P                   ,                          ,P                      ,                       ,                   ,P                      ,                      ,                             ,                       ,P                        ,                   ,                       ,                  ,                      ,P                      ,                          ,P                   ,P                    ,P                       ,P                       ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B,  3,R,CC,   0.00,     32.0400,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,P                   ,                          ,                       ,                       ,                   ,P                      ,P                     ,                             ,                       ,                         ,                   ,P                      ,P                 ,P                     ,                       ,                          ,P                   ,P                    ,P                       ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B,  4,R,CC,   0.00,     38.6400,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,P                   ,                          ,P                      ,                       ,                   ,P                      ,                      ,                             ,                       ,                         ,                   ,P                      ,                  ,P                     ,P                      ,                          ,P                   ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
