Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Planktonic spp. indeterminate,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globigerinita glutinata,Globigerina quinqueloba,Globigerina bulloides,Globigerinita uvula,Orbulina universa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 888,A,  1,H, 1,   9.00,      0.0900,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                             ,17                                     ,13                                   ,                    ,2                      ,4                      ,11                   ,                   ,1                ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 888,A,  1,H, 3,  80.00,      3.8000,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                             ,96                                     ,20                                   ,2                   ,2                      ,11                     ,44                   ,1                  ,                 ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 888,A,  1,H, 4, 116.00,      5.6600,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                             ,18                                     ,5                                    ,                    ,                       ,6                      ,13                   ,                   ,                 ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 888,A,  1,H, 6, 107.00,      8.5700,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                             ,40                                     ,1                                    ,                    ,1                      ,4                      ,30                   ,                   ,                 ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 888,A,  1,H, 7,  12.00,      9.1200,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                             ,                                       ,2                                    ,                    ,                       ,                       ,                     ,                   ,                 ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 888,A,  1,H,CC,   0.00,      9.4500,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,1                            ,15                                     ,9                                    ,3                   ,4                      ,14                     ,17                   ,                   ,                 ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,
