Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Prunopyle hayesi	Periphaena heliasteriscus	Lychnocanoma amphitrite	Lophoconus titanothericeraos	Lithomelissa sphaerocephalis	Eusyringium fistuligerum	Eucyrtidium spinosum	Cyclampterium(?) milowi	Corythospyris aff. jubata	Calocyclas sp. B	Calocyclas cf. semipolita	Axoprunum pierinae	Axoprunum bispiculum	Amphistylus? sp. 	Lophocyrtis biaurita	Clathrocyclas universa	Diplocyclas sp.	Dictyoprora pirum	Amphistylus angelinus	Zygocircus buetschli	Theoperid (gen. et sp. Indet.)	Lychnocanoma cf. babylonis	Eucyrtidium cheni	Carpocanistrum spp.	Lychnocanoma conica	Lithomelissa challengerae	Cyrtocapsella robusta	Axoprunum(?) irregularis	Siphocampe nodosaria	Cycladophora conica	Botryopyle dictyocephalus	Helotholus vema	Eucyrtidium calvertense	Desmospyris spongiosa	Antarctissa denticulata	Antarctissa cylindrica	Corythomelissa horrida	Calocyclas sp. A	Cyrtocapsella aff. japonica	Cycladophora bicornis	Spongoplegma antarcticum	Prunopyle titan	Prunopyle tetrapila	Lithomelissa sp.	Dendrospyris rhodospyroides	Cycladophora golli	Comment



  SR	Oligocene        	                 	L. conica         	              	120	 749	B	  1	H	 1	  45.00	      0.4500	Takemura 	Radiolarians                                 	A              	G                 	F               	+                        	                       	                            	                            	                        	                    	                       	                         	                	                         	                  	                    	                 	                    	                      	               	                 	?                    	                    	                              	                          	                 	                   	F                  	                         	R                    	                        	                    	R                  	                         	F              	F                      	C                    	F                      	C                     	                      	                	                           	R                    	+                       	R              	+                  	R               	R                          	R                 	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Oligocene        	                 	L. conica         	              	120	 749	B	  1	H	 2	  45.00	      1.9500	Takemura 	Radiolarians                                 	F              	M                 	F               	                         	                       	                            	                            	                        	                    	                       	                         	                	                         	                  	                    	                 	                    	                      	               	                 	                     	                    	                              	                          	                 	C                  	F                  	                         	R                    	                        	                    	+                  	                         	               	                       	                     	+                      	R                     	                      	+               	+                          	+                    	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Oligocene        	                 	L. conica         	              	120	 749	B	  1	H	 3	  45.00	      3.4500	Takemura 	Radiolarians                                 	R/F            	P-M               	F               	                         	+                      	                            	                            	                        	                    	                       	                         	                	                         	                  	                    	                 	                    	                      	               	                 	                     	                    	                              	                          	                 	C                  	C                  	                         	+                    	                        	                    	R                  	                         	               	                       	                     	                       	                      	                      	R               	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Oligocene        	                 	L. conica         	              	120	 749	B	  1	H	 4	  45.00	      4.9500	Takemura 	Radiolarians                                 	R/F            	P-M               	R               	                         	                       	                            	                            	                        	                    	                       	                         	                	                         	                  	                    	                 	                    	                      	               	                 	                     	                    	                              	                          	                 	F                  	C                  	                         	                     	                        	                    	+                  	                         	               	                       	                     	                       	+                     	                      	                	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739
