Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spirosigmoilinella compressa	Rhabdammina abyssorum	Reophax scorpiusus	Nothia latissima	Saccammina placenta	Reophax elongatus	Budashevaella multicamerata	Reticulophragmium placenta	Subreophax scalaris	Saccammina sphaerica	Haplophragmoides walteri excavatus	Hormosinella carpenteri	Trochammina cf. deformis (fine)	Karreriella siphonella	Trochammina globigeriniformis	Reophax nodulosa	Paratrochammina challengeri	Nothia excelsa	Hyperammina rugosa	Dorothia siegliei	Rzehakina minima	Reticulophragmium  ex gr rotundidorsata	Reticulophragmium amplectens	Hormosinella sp.	Rhizammina? indivisa	Ammodiscus tenuissima	Tolypammina vagans	Haplophragmoides  stomatus	Hormosina globulifera	Trochammina cf. deformis (coarse)	Haplophragmoides walteri	Bathysiphon  annulatus	Recurvoides sp.	Ammolagena clavata	Recurvoidella lamella	Spirosigmoilinella sp.	Nothia robusta	Verneuilina sp.	Haplophragmoides cf. kirki	Hyperammina elongata	Ammodiscus cretaceus	Recurvoides contortus	Glomospira charoides	Ammodiscus nagyi	Comment



  SR	                 	                 	                  	              	151	 909	C	 52	R	CC	   0.00	    581.6800	Spiegler 	Benthic Foraminifers                         	               	                  	                            	R                    	                  	                	                   	                 	                           	                          	                   	                    	                                  	                       	                               	                      	                             	                	                           	              	                  	                 	                	                                       	                            	                	                    	                     	                  	                          	                     	                                 	R                       	                      	               	                  	                     	                      	R             	               	                          	                    	                    	                     	                    	                	From Leg 151; Ch 9; Table 1; p. 170-172

  SR	                 	                 	                  	              	151	 909	C	 54	R	CC	   0.00	    599.1500	Spiegler 	Benthic Foraminifers                         	               	                  	                            	                     	                  	                	                   	                 	                           	                          	                   	                    	                                  	                       	                               	                      	                             	                	                           	              	                  	                 	                	                                       	                            	                	                    	                     	                  	                          	                     	                                 	R                       	                      	               	                  	                     	                      	              	               	                          	                    	                    	                     	                    	                	From Leg 151; Ch 9; Table 1; p. 170-172

  SR	                 	                 	R. rotundidorsata 	              	151	 909	C	 55	R	 1	  76.00	    605.8600	Spiegler 	Benthic Foraminifers                         	               	                  	                            	R                    	                  	R               	R                  	                 	                           	                          	                   	                    	                                  	                       	R                              	                      	                             	                	                           	              	R                 	                 	                	R                                      	                            	                	                    	                     	                  	                          	                     	                                 	R                       	                      	               	                  	R                    	                      	R             	               	                          	                    	                    	R                    	                    	                	From Leg 151; Ch 9; Table 1; p. 170-172

  SR	                 	                 	R. rotundidorsata 	              	151	 909	C	 55	R	 2	  31.00	    606.9100	Spiegler 	Benthic Foraminifers                         	               	                  	                            	                     	                  	R               	                   	                 	                           	                          	                   	                    	                                  	                       	                               	                      	                             	                	                           	              	                  	                 	                	                                       	                            	                	                    	                     	                  	                          	                     	                                 	R                       	                      	               	                  	                     	                      	              	               	                          	                    	                    	                     	                    	                	From Leg 151; Ch 9; Table 1; p. 170-172

