Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina decoraperta	Neogloboquadrina acostaensis	Globorotalia menardii	Globigerinoides extremus	Sphaeroidinellopsis kochi	Pulleniatina primalis	Neogloboquadrina humerosa	Globigerinoides trilobus	Globorotalia tumida	Globorotalia scitula	Globigerinoides obliquus	Tenuitella minutissima	Globorotalia birnageae	Globigerina praebulloides	Globorotaloides hexagona	Globorotalia peripheroronda	Globoquadrina venezuelana	Globigerina falconensis	Globigerinoides tenellus	Orbulina universa	Globigerinoides ruber	Globigerinoides immaturus	Pulleniatina obliquiloculata	Catapsydrax dissimilis	Fohsella fohsi fohsi	Neogloboquadrina dutertrei	Globorotalia siakensis	Globorotalia kugleri	Globoquadrina dehiscens	Dentoglobigerina altispira	Catapsydrax stainforthi	Comment



  IR	                 	Pleistocene      	                  	N22           	170	1040	B	  1	H	CC	  23.00	      5.4900	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                          	                            	                     	                        	                         	                     	                         	R                       	                   	                    	                        	                      	                      	                         	                        	R                          	                         	                       	                        	                 	R                    	                         	                            	R                     	                    	R                         	                      	R                   	                       	                          	R                      	       

  IR	                 	Pleistocene      	                  	N22           	170	1040	B	  2	H	CC	  28.00	     14.0200	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                          	                            	R                    	                        	                         	                     	                         	                        	                   	                    	                        	                      	                      	                         	                        	R                          	R                        	                       	                        	                 	R                    	                         	                            	                      	                    	R                         	R                     	R                   	R                      	R                         	                       	       

  IR	                 	Pleistocene      	                  	N22           	170	1040	B	  3	X	CC	  25.00	     14.2500	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                          	                            	R                    	R                       	                         	                     	                         	R                       	R                  	                    	                        	                      	                      	                         	R                       	                           	                         	                       	                        	                 	                     	                         	                            	                      	+                   	                          	                      	                    	                       	                          	                       	       

  IR	                 	Pleistocene      	                  	N22           	170	1040	B	  7	X	CC	  51.00	     46.5000	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	                          	R                           	R                    	                        	                         	                     	                         	                        	                   	                    	R                       	                      	                      	                         	                        	                           	                         	                       	                        	R                	                     	                         	                            	P                     	                    	                          	                      	                    	                       	                          	                       	       

  IR	                 	Pleistocene      	                  	N22           	170	1040	B	  9	X	CC	  30.00	     73.0400	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                          	                            	                     	R                       	                         	                     	                         	                        	                   	                    	                        	                      	                      	                         	                        	                           	                         	                       	                        	R                	R                    	                         	R                           	                      	                    	                          	                      	                    	                       	                          	                       	       

  IR	Pleistocene      	Late Pliocene    	                  	N19           	170	1040	B	 10	X	CC	  33.00	     79.6300	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                          	                            	                     	                        	                         	R                    	                         	R                       	                   	                    	                        	                      	                      	                         	                        	                           	                         	                       	                        	R                	R                    	R                        	                            	                      	                    	                          	                      	                    	                       	                          	                       	       

