Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Systematophora placacantha,Spiniferites spp.,Spiniferites elongatus,Palaeocystodinium golzowense,Operculodinium spp.,Operculodinium centrocarpum,Nematosphaeropsis rigida,Impagidinium spp.,Distatodinium spp.,Cordosphaeridium minimum,Batiacasphaera sphaerica,Batiacasphaera micropapillata,Achomosphaera sp.1,Unipontidinium aquaeductum,Spiniferites pseudofurcatus,Reticulatosphaera actinocoronata,Lejeunecysta spp.,Labyrinthodinium truncatum,Dapsilidinium spp.,Batiacasphaera minuta,Tectatodinium psilatum,Tectatodinium pellitum,Lingulodinium machaerophorum,Dinoflagellate cyst sp.908,Pentadinium laticinctum,Impagidinium strialatum,Hystrichostrogylon coninckii,Distatodinium paradoxum,Spiniferites mirabilis,Palaeocystodinium spp.,Oligosphaeridium spp.,Dinoflagellate cysts indet.,Dapsilidinium pastielsii,Tuberculodinium vancampoae,Distatodinium craterum,Nematosphaeropsis lemniscata,Operculodinium israelianum,Amiculosphaera umbracula,Protoperidinium spp.,Impletosphaeridium spp.,Votadinium spp.,Operculodinium piaseckii,Polysphaeridium congregatum,Phelodinium spp.,Impagidinium japonicum,Barssidinium graminosum,"Protoperidinium spp. ""round browns""",Batiacasphaera hirsuta,Impagidinium? pallidum,Batiacasphaera spp.,Palaeocystodinium sp.1,Operculodinium cf. giganteum ,Operculodinium? eirikianum,Lingulodinium brevispinosum,Hystrichosphaeropsis obscura,Cymatiosphaera ?invaginata,Bitectatodinium spp.,Habibacysta tectata,Melitasphaeridium choanophorum,Impagidinium patulum,Filisphaera filifera,Trinovantedinium spp.,Incertae sedis sp.1,Evittosphaerula? sp. 2 ,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,151, 907,A,  9,H, 2,  25.00,     75.5500,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                 ,C                     ,                            ,                   ,                           ,R                       ,                 ,                  ,                        ,                        ,R                            ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,151, 907,A,  9,H, 4,  25.00,     78.5500,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,F                ,F                     ,                            ,                   ,                           ,                        ,                 ,                  ,                        ,                        ,R                            ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,R                     ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,151, 907,A,  9,H, 6,  25.00,     81.5500,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                 ,                      ,                            ,                   ,                           ,                        ,                 ,                  ,                        ,                        ,                             ,                  ,                          ,                           ,                                ,R                ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,R                                  ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 10,H, 4,  24.00,     88.0400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,R                ,                      ,                            ,                   ,                           ,                        ,                 ,                  ,                        ,                        ,                             ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
