Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris,Stephanogonia hanzawae,Pseudopyxilla directa,Ikebea tenuis,Chaetoceros spp. (resting spores),Thalassionema lineatum,Rhizosolenia miocenica,Rhizosolenia hebetata f. semispina,Rhaphoneis ossiformis,Proboscia alata,Denticulopsis hustedtii,Rhizosolenia norwegica,Pseudopyxilla rossica,Porosira glacialis,Nitzschia pseudocylindrica,Goniothecium tenue,Denticulopsis lauta,Actinocyclus ehrenbergii,Stephanopyxis spinossima,Proboscia praebarboi,Coscinodiscus norwegicus,Thalassiosira grunowii,Stellarima microtrias,Rhaphoneis paralellica,Mediaria splendida,Eucampia aff. balaustium,Dimerogramma cf. aff. dubium,Coscinodiscus asteromphalus,Thalassiosira yabei,Rhizosolenia praebarboi,Coscinodiscus yabei,Coscinodiscus plicatus,Pterotheca reticulata,Pseudopodosira simplex,Denticulopsis praedimorpha,Rhizosolenia hebetata f. hebetata,Actinocyclus ingens,Coscinodiscus marginatus,Nitzschia donahuensis,Thalassiosira aff. gravida,Nitzschia heteropolica,Pterotheca aculeifera,Thalassiosira nordenskioeldii,Synedra pulchella,Actinocyclus curvatulus,Nitzschia evenscens,Rhaphoneis margaritalimbata,Synedra miocenica,Pseudodimerogramma sp.,Xanthiopyxis sp.,Nitzschia aff. cylindrica,Cymatosira biharensis,Cestodiscus sp.,Nitzschia riedelia,Coscinodiscus lewisianus,Rhizosolenia styliformis,Hemiaulus polycystinorum,Coscinodiscus flexuosus,Rhizosolenia barboi,Proboscia barboi,Thalassiosira kryophila,Thalassiothrix miocenica,Thalassiothrix longissima,Thalassiosira oestrupii,Thalassiosira decipiens,Thalassiosira baldaufii,Thalassiosira convexa,Thalassiosira sp. a,Thalassiosira jacksonii,Thalassiosira gravida vegetative,Thalassiosira eccentrica,Thalassiosira aff. nordenskioeldii,Thalassiosira sp. c,Thalassionema nitzschioides,Thalassiosira zabellinae,Thalassiosira sp. 1,Thalassiosira nidulus,Nitzschia kanayensis,Nitzschia atlantica,Thalassiosira gravida spore,Coscinodiscus oculus-iridis,Rhizosolenia bergonii,Proboscia curvirostris,Thalassiosira trifulta,Thalassiosira anguste-lineata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T. oestrupii      ,              ,151, 907,A,  1,H, 1,   4.00,      0.0400,Koc      ,Diatoms                                      ,A              ,M                 ,                    ,                      ,                     ,             ,R                                ,                      ,                      ,F                                 ,                     ,R              ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,F                                ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,R                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,A                        ,                       ,                       ,                       ,                     ,                   ,                       ,C                               ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,C                          ,                           ,                     ,                      ,F                     ,C                            ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T. oestrupii      ,              ,151, 907,A,  1,H, 1,  13.00,      0.1300,Koc      ,Diatoms                                      ,A              ,M                 ,                    ,                      ,                     ,             ,F                                ,                      ,                      ,F                                 ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,F                                ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,F                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,A                        ,C                      ,                       ,                       ,                     ,                   ,                       ,C                               ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,R                          ,                           ,                     ,                      ,F                     ,C                            ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,P. curvirostris   ,              ,151, 907,A,  2,H, 3,  33.00,     10.6300,Koc      ,Diatoms                                      ,F              ,P                 ,                    ,                      ,                     ,             ,                                 ,                      ,                      ,R                                 ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,R                       ,                     ,                          ,                      ,                     ,                             ,                 ,R                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,F                        ,R                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,F                     ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. oestrupii      ,              ,151, 907,A,  6,H, 3,  34.00,     48.6400,Koc      ,Diatoms                                      ,               ,                  ,R                   ,                      ,                     ,             ,                                 ,                      ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,R                       ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
